# laser_power_pct,10
# exposure_time,0.5
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,651
1,-221.874,525.8142,654
2,-218.808,525.8990,660
3,-215.742,525.9838,670
4,-212.678,526.0686,661
5,-209.615,526.1534,658
6,-206.553,526.2381,651
7,-203.493,526.3229,662
8,-200.433,526.4077,652
9,-197.375,526.4924,649
10,-194.318,526.5772,663
11,-191.263,526.6619,656
12,-188.208,526.7467,653
13,-185.155,526.8314,651
14,-182.103,526.9161,656
15,-179.052,527.0008,649
16,-176.002,527.0855,652
17,-172.953,527.1703,655
18,-169.906,527.2550,653
19,-166.860,527.3397,650
20,-163.815,527.4243,655
21,-160.771,527.5090,652
22,-157.728,527.5937,653
23,-154.687,527.6784,654
24,-151.647,527.7630,647
25,-148.608,527.8477,651
26,-145.570,527.9324,648
27,-142.533,528.0170,650
28,-139.498,528.1017,656
29,-136.464,528.1863,652
30,-133.431,528.2709,653
31,-130.399,528.3555,655
32,-127.368,528.4402,657
33,-124.339,528.5248,657
34,-121.310,528.6094,652
35,-118.283,528.6940,651
36,-115.257,528.7786,653
37,-112.233,528.8632,663
38,-109.209,528.9477,650
39,-106.187,529.0323,655
40,-103.166,529.1169,655
41,-100.146,529.2014,656
42,-97.127,529.2860,649
43,-94.109,529.3705,659
44,-91.093,529.4551,652
45,-88.077,529.5396,663
46,-85.063,529.6242,667
47,-82.050,529.7087,656
48,-79.039,529.7932,661
49,-76.028,529.8777,652
50,-73.019,529.9622,654
51,-70.011,530.0467,651
52,-67.004,530.1312,656
53,-63.998,530.2157,660
54,-60.993,530.3002,650
55,-57.990,530.3847,645
56,-54.987,530.4691,647
57,-51.986,530.5536,649
58,-48.986,530.6381,653
59,-45.988,530.7225,644
60,-42.990,530.8070,653
61,-39.994,530.8914,655
62,-36.998,530.9758,654
63,-34.004,531.0603,652
64,-31.011,531.1447,668
65,-28.020,531.2291,661
66,-25.029,531.3135,663
67,-22.040,531.3979,661
