# kind,background_subtracted
# version_label,v1_poly4
# poly_order,4
# iterations_run,20
pixel_index,raman_shift_cm-1,intensity,background_intensity
0,-225.132,1064.465690433312,-326.4656904333119
1,-222.063,1058.364386291977,-311.3643862919772
2,-218.996,1048.3091946429615,-296.3091946429615
3,-215.930,1034.3000014357701,-281.3000014357701
4,-212.866,1018.3366927645046,-266.3366927645046
5,-209.802,1015.4191548678622,-251.4191548678622
6,-206.740,989.5472741291364,-236.54727412913638
7,-203.679,973.7209370762165,-221.7209370762165
8,-200.619,958.940030381588,-206.94003038158803
9,-197.561,935.2044408623324,-192.20444086233238
10,-194.503,929.5140554801269,-177.51405548012696
11,-191.447,896.8687613412452,-162.86876134124523
12,-188.392,896.2684456965567,-148.2684456965567
13,-185.338,888.7129959415269,-133.71299594152683
14,-182.285,877.202299616217,-119.20229961621703
15,-179.234,838.7362444052849,-104.73624440528482
16,-176.184,841.3147181379837,-90.31471813798376
17,-173.135,831.9376087881633,-75.93760878816329
18,-170.087,811.604804474269,-61.604804474268974
19,-167.040,794.3161934593422,-47.31619345934223
20,-163.995,784.0716641510207,-33.07166415102074
21,-160.951,767.871105101538,-18.871105101538035
22,-157.908,746.7144050077236,-4.714405007723599
23,-154.866,746.601452711003,9.398547288996951
24,-151.825,743.532137197398,23.467862802602042
25,-148.786,709.506347597526,37.49365240247408
26,-145.747,681.5239731866006,51.476026813399415
27,-142.710,680.5849033844313,65.41509661556864
28,-139.674,685.6890277554241,79.31097224457585
29,-136.640,669.8362360085804,93.16376399141961
30,-133.606,634.0264179974977,106.97358200250227
31,-130.574,638.2594637203699,120.74053627963002
32,-127.543,620.5352633199866,134.4647366800134
33,-124.513,601.8537070837333,148.14629291626665
34,-121.484,589.2146854435919,161.78531455640808
35,-118.457,582.6180889761399,175.38191102386003
36,-115.430,571.0638084025512,188.93619159744878
37,-112.405,547.5517345885953,202.4482654114047
38,-109.381,531.0817585446381,215.9182414553619
39,-106.358,514.6537714256411,229.34622857435886
40,-103.337,526.2676645311624,242.73233546883762
41,-100.316,495.9233293053554,256.0766706946446
42,-97.297,499.6206573369701,269.3793426630299
43,-94.279,460.3595403593521,282.6404596406479
44,-91.262,450.1398702504432,295.8601297495568
45,-88.246,443.9615390327813,309.0384609672187
46,-85.232,430.82443887350007,322.17556112649993
47,-82.218,407.7284620843294,335.2715379156706
48,-79.206,396.6735011215952,348.3264988784048
49,-76.195,399.6594485862191,361.3405514137809
50,-73.185,371.6861972237191,374.3138027762809
51,-70.177,363.75363992420887,387.24636007579113
52,-67.169,352.8616697223986,400.1383302776014
53,-64.163,344.01017979759365,412.98982020240635
54,-61.158,321.19906347369636,425.80093652630364
55,-58.154,312.4282142192044,438.5717857807956
56,-55.151,293.6975256472118,451.3024743527882
57,-52.150,282.00689151540837,463.99310848459163
58,-49.149,279.3562057260799,476.6437942739201
59,-46.150,257.74536232610865,489.25463767389135
60,-43.152,244.17425550697226,501.82574449302774
61,-40.155,243.64277960474476,514.3572203952552
62,-37.159,227.15082910009642,526.8491708999036
63,-34.165,208.6982986182926,539.3017013817074
64,-31.171,243.28508292919582,551.7149170708042
65,-28.179,443.91107694726384,564.0889230527362
66,-25.188,1417.5761757315506,576.4238242684494
67,-22.198,2125.2802744857063,588.7197255142937
68,-19.210,256.02326855797685,600.9767314420232
69,-16.222,141.80505344120422,613.1949465587958
70,-13.236,135.62552477282657,625.3744752271734
71,-10.251,105.48457833487782,637.5154216651222
72,-7.267,105.38211005398819,649.6178899460118
73,-4.284,74.31801600138351,661.6819839986165
74,-1.302,67.29219239288602,673.707807607114
75,1.678,64.30453558891384,685.6954644110862
76,4.658,44.3549420944812,697.6450579055188
77,7.636,50.44330855919793,709.5566914408021
78,10.613,43.56953177727041,721.4304682227296
79,13.589,24.73350868750026,733.2664913124997
80,16.563,9.935136373286241,745.0648636267138
81,19.537,0.0,756.8256879373778
82,22.509,0.0,768.5490668719017
83,25.480,0.0,780.2351029130994
84,28.451,0.0,791.8838983991882
85,31.419,0.0,803.4955555237905
86,34.387,0.0,815.070176335932
87,37.354,0.0,826.607862740042
88,40.319,0.0,838.1087164959552
89,43.283,0.0,849.5728392189085
90,46.246,0.0,861.000332379544
91,49.208,0.0,872.3912973039075
92,52.169,0.0,883.7458351734485
93,55.129,0.0,895.0640470250212
94,58.087,0.0,906.346033750883
95,61.045,0.0,917.5918960986953
96,64.001,0.0,928.8017346715244
97,66.956,0.0,939.9756499278396
98,69.910,134.8862578184851,951.1137421815149
