pixel_index,raman_shift_cm-1,intensity
0,620.000,620.0
1,795.000,795.0
2,1001.000,1001.0
3,1031.000,1031.0
4,1155.000,1155.0
5,1183.000,1183.0
6,1450.000,1450.0
7,1583.000,1583.0
8,1602.000,1602.0
