pixel,intensity
0,142
1,143
2,145
3,143
4,145
5,145
6,144
7,144
8,145
9,145
10,146
11,146
12,143
13,143
14,145
15,146
16,146
17,147
18,144
19,144
20,143
21,144
22,143
23,146
24,146
25,144
26,146
27,144
28,146
29,144
30,143
31,146
32,146
33,145
34,146
35,145
36,148
37,145
38,143
39,144
40,147
41,144
42,145
43,143
44,144
45,146
46,145
47,146
48,145
49,146
50,144
51,143
52,147
53,145
54,145
55,144
56,146
57,145
58,144
59,146
60,146
61,145
62,145
63,144
64,144
65,145
66,144
67,144
68,145
69,143
70,145
71,145
72,148
73,144
74,145
75,146
76,145
77,144
78,143
79,145
80,144
81,146
82,144
83,144
84,144
85,144
86,145
87,144
88,144
89,147
90,143
91,143
92,145
93,144
94,145
95,144
96,145
97,144
98,146
99,147
100,145
101,143
102,147
103,146
104,146
105,146
106,145
107,144
108,144
109,144
110,144
111,146
112,146
113,145
114,144
115,145
116,144
117,144
118,145
119,145
120,143
121,147
122,145
123,143
124,145
125,143
126,144
127,146
128,145
129,144
130,143
131,144
132,145
133,145
134,143
135,145
136,144
137,147
138,145
139,145
140,144
141,145
142,147
143,144
144,145
145,147
146,146
147,148
148,144
149,147
150,145
151,145
152,146
153,145
154,143
155,145
156,146
157,143
158,145
159,146
160,144
161,145
162,146
163,144
164,146
165,147
166,144
167,145
168,145
169,145
170,147
171,147
172,145
173,146
174,144
175,145
176,147
177,145
178,144
179,145
180,145
181,147
182,145
183,144
184,146
185,148
186,146
187,145
188,144
189,145
190,143
191,144
192,145
193,143
194,144
195,143
196,145
197,145
198,143
199,143
200,146
201,144
202,147
203,147
204,145
205,144
206,144
207,146
208,145
209,145
210,144
211,145
212,146
213,145
214,144
215,144
216,147
217,147
218,145
219,145
220,146
221,143
222,142
223,145
224,145
225,149
226,146
227,145
228,146
229,145
230,146
231,145
232,147
233,145
234,145
235,145
236,145
237,144
238,144
239,146
240,146
241,146
242,147
243,143
244,146
245,145
246,145
247,145
248,144
249,145
250,145
251,146
252,146
253,147
254,145
255,146
256,145
257,144
258,145
259,145
260,146
261,145
262,146
263,145
264,144
265,148
266,145
267,147
268,146
269,146
270,144
271,144
272,145
273,144
274,145
275,147
276,145
277,145
278,146
279,144
280,146
281,144
282,144
283,145
284,145
285,147
286,144
287,144
288,144
289,145
290,145
291,146
292,145
293,145
294,144
295,145
296,146
297,145
298,145
299,147
300,147
301,145
302,143
303,145
304,147
305,145
306,146
307,146
308,146
309,146
310,147
311,145
312,147
313,145
314,144
315,146
316,147
317,145
318,145
319,144
320,146
321,145
322,146
323,143
324,145
325,143
326,147
327,145
328,145
329,146
330,145
331,143
332,144
333,147
334,144
335,145
336,147
337,147
338,147
339,146
340,146
341,146
342,148
343,146
344,150
345,146
346,146
347,144
348,144
349,143
350,146
351,144
352,149
353,144
354,145
355,144
356,147
357,144
358,145
359,145
360,144
361,145
362,147
363,146
364,144
365,146
366,145
367,146
368,147
369,146
370,145
371,148
372,148
373,149
374,147
375,146
376,145
377,145
378,144
379,146
380,145
381,146
382,144
383,144
384,146
385,146
386,145
387,146
388,145
389,145
390,144
391,147
392,147
393,146
394,145
395,147
396,147
397,146
398,145
399,144
400,146
401,145
402,147
403,144
404,146
405,147
406,146
407,148
408,145
409,146
410,148
411,145
412,145
413,146
414,146
415,146
416,146
417,144
418,146
419,145
420,145
421,146
422,146
423,146
424,151
425,149
426,144
427,146
428,145
429,148
430,149
431,144
432,144
433,147
434,146
435,146
436,146
437,144
438,146
439,143
440,144
441,147
442,147
443,146
444,147
445,146
446,145
447,145
448,147
449,147
450,146
451,145
452,145
453,147
454,145
455,146
456,147
457,144
458,144
459,145
460,147
461,149
462,148
463,144
464,145
465,144
466,146
467,145
468,147
469,146
470,147
471,147
472,146
473,145
474,144
475,147
476,145
477,144
478,147
479,146
480,147
481,147
482,145
483,144
484,144
485,147
486,146
487,147
488,146
489,145
490,146
491,144
492,145
493,145
494,148
495,147
496,146
497,146
498,143
499,145
500,147
501,146
502,147
503,146
504,146
505,146
506,145
507,146
508,146
509,145
510,145
511,145
512,147
513,148
514,145
515,146
516,147
517,147
518,146
519,144
520,145
521,146
522,147
523,146
524,145
525,145
526,147
527,145
528,147
529,144
530,145
531,146
532,146
533,148
534,146
535,146
536,149
537,145
538,144
539,145
540,147
541,147
542,147
543,144
544,144
545,146
546,147
547,145
548,146
549,145
550,144
551,146
552,145
553,148
554,146
555,147
556,143
557,146
558,144
559,149
560,148
561,149
562,147
563,145
564,145
565,147
566,144
567,147
568,146
569,147
570,146
571,144
572,146
573,146
574,146
575,145
576,145
577,145
578,145
579,144
580,145
581,146
582,143
583,147
584,145
585,145
586,145
587,146
588,146
589,145
590,146
591,144
592,145
593,147
594,145
595,145
596,147
597,146
598,146
599,146
600,147
601,146
602,145
603,144
604,147
605,145
606,145
607,146
608,146
609,145
610,146
611,146
612,147
613,147
614,146
615,144
616,146
617,145
618,144
619,146
620,148
621,145
622,144
623,148
624,146
625,147
626,146
627,146
628,144
629,146
630,146
631,145
632,147
633,145
634,147
635,145
636,144
637,147
638,146
639,146
640,147
641,146
642,144
643,146
644,146
645,145
646,147
647,148
648,146
649,146
650,145
651,143
652,145
653,145
654,144
655,147
656,146
657,145
658,145
659,145
660,147
661,144
662,146
663,146
664,147
665,148
666,146
667,146
668,146
669,146
670,148
671,146
672,145
673,145
674,146
675,147
676,147
677,146
678,145
679,145
680,145
681,147
682,146
683,143
684,148
685,147
686,144
687,145
688,145
689,146
690,144
691,147
692,145
693,146
694,146
695,147
696,146
697,144
698,149
699,146
700,147
701,145
702,144
703,149
704,144
705,146
706,144
707,146
708,144
709,146
710,144
711,145
712,146
713,147
714,147
715,147
716,146
717,148
718,147
719,144
720,146
721,144
722,146
723,146
724,146
725,145
726,145
727,147
728,147
729,145
730,144
731,147
732,146
733,146
734,146
735,146
736,146
737,144
738,145
739,146
740,147
741,146
742,146
743,145
744,146
745,145
746,147
747,146
748,144
749,145
750,145
751,143
752,146
753,145
754,149
755,145
756,143
757,145
758,146
759,144
760,146
761,147
762,146
763,146
764,144
765,147
766,147
767,147
768,146
769,147
770,146
771,146
772,145
773,146
774,146
775,146
776,146
777,144
778,146
779,144
780,145
781,144
782,144
783,146
784,144
785,145
786,146
787,146
788,145
789,143
790,145
791,145
792,148
793,147
794,145
795,144
796,144
797,144
798,144
799,146
800,146
801,146
802,145
803,146
804,145
805,146
806,144
807,145
808,145
809,147
810,146
811,145
812,148
813,146
814,147
815,145
816,144
817,145
818,146
819,147
820,145
821,144
822,144
823,144
824,146
825,144
826,147
827,145
828,147
829,147
830,146
831,146
832,144
833,146
834,147
835,148
836,146
837,147
838,146
839,145
840,145
841,146
842,145
843,145
844,149
845,146
846,145
847,144
848,147
849,145
850,144
851,146
852,145
853,147
854,146
855,144
856,145
857,148
858,143
859,145
860,145
861,144
862,146
863,147
864,145
865,146
866,148
867,145
868,144
869,146
870,147
871,145
872,146
873,147
874,145
875,145
876,145
877,145
878,145
879,143
880,147
881,146
882,147
883,147
884,147
885,144
886,145
887,145
888,146
889,144
890,144
891,145
892,145
893,147
894,146
895,147
896,146
897,145
898,145
899,144
900,144
901,146
902,147
903,146
904,146
905,146
906,146
907,144
908,147
909,146
910,144
911,147
912,147
913,146
914,143
915,145
916,146
917,146
918,145
919,145
920,147
921,146
922,145
923,146
924,145
925,148
926,146
927,145
928,147
929,144
930,146
931,143
932,145
933,145
934,145
935,144
936,145
937,146
938,145
939,144
940,146
941,146
942,147
943,148
944,144
945,146
946,146
947,145
948,146
949,144
950,143
951,145
952,145
953,146
954,145
955,146
956,148
957,147
958,145
959,146
960,145
961,146
962,145
963,146
964,146
965,144
966,146
967,144
968,147
969,144
970,145
971,143
972,145
973,145
974,145
975,144
976,145
977,147
978,146
979,145
980,146
981,147
982,146
983,145
984,147
985,146
986,146
987,146
988,148
989,144
990,146
991,145
992,146
993,146
994,145
995,145
996,145
997,145
998,146
999,146
1000,145
1001,145
1002,145
1003,145
1004,146
1005,145
1006,144
1007,142
1008,144
1009,147
1010,144
1011,145
1012,148
1013,149
1014,144
1015,146
1016,146
1017,144
1018,146
1019,145
1020,146
1021,147
1022,147
1023,145
