pixel,intensity
0,156
1,156
2,152
3,154
4,153
5,153
6,153
7,154
8,156
9,156
10,153
11,155
12,152
13,154
14,156
15,155
16,157
17,154
18,154
19,152
20,154
21,154
22,156
23,152
24,155
25,155
26,154
27,154
28,153
29,155
30,154
31,152
32,156
33,153
34,156
35,153
36,153
37,157
38,153
39,155
40,159
41,154
42,153
43,155
44,154
45,154
46,156
47,154
48,153
49,157
50,153
51,153
52,154
53,154
54,154
55,155
56,152
57,153
58,154
59,151
60,157
61,154
62,152
63,154
64,154
65,158
66,154
67,154
68,154
69,153
70,153
71,153
72,154
73,154
74,152
75,154
76,155
77,153
78,154
79,156
80,153
81,155
82,152
83,154
84,155
85,153
86,151
87,156
88,155
89,156
90,153
91,151
92,155
93,154
94,153
95,154
96,154
97,153
98,152
99,156
100,156
101,155
102,153
103,154
104,154
105,153
106,152
107,154
108,151
109,155
110,153
111,153
112,152
113,155
114,153
115,152
116,153
117,155
118,155
119,153
120,151
121,153
122,151
123,153
124,153
125,153
126,154
127,153
128,154
129,153
130,155
131,155
132,153
133,152
134,152
135,153
136,155
137,154
138,154
139,152
140,155
141,155
142,154
143,153
144,154
145,155
146,151
147,157
148,153
149,153
150,150
151,157
152,154
153,155
154,155
155,155
156,153
157,151
158,151
159,152
160,155
161,153
162,153
163,155
164,154
165,153
166,154
167,153
168,152
169,156
170,155
171,154
172,152
173,152
174,155
175,153
176,155
177,152
178,151
179,153
180,154
181,155
182,153
183,152
184,155
185,151
186,152
187,155
188,155
189,153
190,152
191,154
192,156
193,151
194,151
195,154
196,152
197,151
198,152
199,153
200,155
201,154
202,151
203,151
204,155
205,153
206,152
207,153
208,153
209,155
210,154
211,152
212,153
213,153
214,152
215,157
216,154
217,153
218,156
219,153
220,153
221,152
222,154
223,154
224,152
225,155
226,150
227,154
228,154
229,155
230,152
231,153
232,154
233,155
234,154
235,153
236,153
237,151
238,154
239,153
240,151
241,154
242,153
243,155
244,152
245,153
246,151
247,152
248,155
249,152
250,152
251,153
252,155
253,153
254,153
255,152
256,155
257,153
258,152
259,153
260,154
261,152
262,153
263,150
264,155
265,155
266,153
267,152
268,153
269,153
270,152
271,152
272,151
273,152
274,153
275,153
276,153
277,153
278,153
279,152
280,154
281,154
282,152
283,153
284,154
285,152
286,156
287,153
288,153
289,154
290,155
291,155
292,154
293,151
294,157
295,154
296,155
297,152
298,155
299,154
300,155
301,154
302,151
303,156
304,159
305,156
306,152
307,153
308,152
309,154
310,156
311,153
312,153
313,152
314,148
315,152
316,153
317,151
318,152
319,153
320,155
321,150
322,151
323,153
324,153
325,152
326,152
327,155
328,151
329,155
330,152
331,153
332,155
333,155
334,151
335,154
336,154
337,152
338,151
339,152
340,154
341,153
342,153
343,155
344,156
345,153
346,153
347,152
348,153
349,154
350,155
351,152
352,153
353,153
354,152
355,153
356,150
357,153
358,155
359,154
360,153
361,157
362,155
363,154
364,154
365,153
366,153
367,154
368,155
369,154
370,152
371,154
372,154
373,156
374,154
375,155
376,155
377,154
378,155
379,156
380,153
381,154
382,156
383,154
384,155
385,153
386,154
387,152
388,157
389,155
390,154
391,155
392,155
393,155
394,153
395,153
396,154
397,153
398,152
399,154
400,153
401,151
402,154
403,152
404,153
405,152
406,153
407,154
408,153
409,155
410,153
411,156
412,153
413,154
414,155
415,154
416,152
417,154
418,152
419,152
420,154
421,154
422,154
423,152
424,157
425,155
426,154
427,154
428,155
429,157
430,157
431,156
432,156
433,155
434,156
435,155
436,156
437,158
438,158
439,153
440,155
441,156
442,156
443,154
444,155
445,156
446,154
447,155
448,156
449,156
450,155
451,156
452,156
453,154
454,157
455,160
456,156
457,160
458,158
459,158
460,156
461,159
462,160
463,160
464,159
465,161
466,162
467,161
468,160
469,160
470,157
471,159
472,159
473,160
474,158
475,159
476,158
477,159
478,161
479,162
480,161
481,164
482,164
483,166
484,168
485,165
486,169
487,168
488,169
489,164
490,161
491,160
492,158
493,158
494,160
495,160
496,158
497,161
498,159
499,158
500,155
501,156
502,161
503,158
504,156
505,154
506,153
507,152
508,156
509,154
510,154
511,155
512,153
513,156
514,155
515,154
