System
Type	MANTARAY
Unit	WAVENUMBER
Rayleigh	785.035nm
Grating	1200gr

Measuring Condition
Acquisition Mode	SINGLE
Exposure Time	0.2s
Laser Filter	785nm
ND Filter	20%
Lens Magnification	MPLFLN20x
X Pixels	1024	Y Pixels	255


X Axis Data	Y Axis Data
1158.93	3273
1159.89	3272
1160.85	3289
1161.81	3294
1162.77	3330
1163.73	3308
1164.68	3341
1165.64	3326
1166.6	3308
1167.55	3328
1168.51	3309
1169.47	3355
1170.42	3344
1171.38	3352
1172.33	3317
1173.29	3290
1174.25	3321
1175.2	3355
1176.16	3297
1177.11	3338
1178.07	3309
1179.02	3326
1179.97	3328
1180.93	3326
1181.88	3337
1182.83	3366
1183.79	3340
1184.74	3351
1185.69	3350
1186.65	3362
1187.6	3367
1188.55	3303
1189.5	3352
1190.45	3354
1191.41	3313
1192.36	3341
1193.31	3334
1194.26	3344
1195.21	3335
1196.16	3362
1197.11	3347
1198.06	3365
1199.01	3345
1199.96	3427
1200.91	3411
1201.86	3382
1202.81	3356
1203.76	3346
1204.71	3376
1205.66	3421
1206.6	3357
1207.55	3370
1208.5	3392
1209.45	3403
1210.39	3395
1211.34	3392
1212.29	3404
1213.24	3436
1214.18	3431
1215.13	3423
1216.08	3426
1217.02	3443
1217.97	3461
1218.91	3465
1219.86	3446
1220.8	3435
1221.75	3444
1222.69	3499
1223.64	3447
1224.58	3473
1225.53	3457
1226.47	3462
1227.41	3477
1228.36	3496
1229.3	3515
1230.24	3515
1231.19	3526
1232.13	3552
1233.07	3537
1234.01	3503
1234.96	3493
1235.9	3499
1236.84	3551
1237.78	3556
1238.72	3551
1239.66	3559
1240.6	3561
1241.54	3580
1242.48	3598
1243.42	3561
1244.36	3569
1245.3	3654
1246.24	3649
1247.18	3619
1248.12	3630
1249.06	3640
1250	3626
1250.94	3670
1251.88	3660
1252.81	3697
1253.75	3664
1254.69	3682
1255.63	3726
1256.57	3763
1257.5	3703
1258.44	3672
1259.38	3673
1260.31	3722
1261.25	3744
1262.18	3702
1263.12	3721
1264.06	3730
1264.99	3763
1265.93	3751
1266.86	3722
1267.8	3751
1268.73	3734
1269.67	3741
1270.6	3755
1271.53	3771
1272.47	3752
1273.4	3787
1274.33	3753
1275.27	3735
1276.2	3743
1277.13	3766
1278.07	3798
1279	3793
1279.93	3785
1280.86	3769
1281.79	3778
1282.73	3783
1283.66	3824
1284.59	3817
1285.52	3770
1286.45	3820
1287.38	3784
1288.31	3802
1289.24	3821
1290.17	3788
1291.1	3790
1292.03	3787
1292.96	3796
1293.89	3774
1294.82	3779
1295.75	3820
1296.67	3791
1297.6	3800
1298.53	3780
1299.46	3790
1300.39	3795
1301.31	3791
1302.24	3774
1303.17	3804
1304.09	3808
1305.02	3782
1305.95	3792
1306.87	3777
1307.8	3828
1308.72	3787
1309.65	3793
1310.58	3811
1311.5	3825
1312.43	3831
1313.35	3823
1314.27	3819
1315.2	3816
1316.12	3818
1317.05	3816
1317.97	3889
1318.89	3830
1319.82	3849
1320.74	3899
1321.66	3860
1322.59	3888
1323.51	3904
1324.43	3864
