# laser_power_pct,10
# exposure_time,0.2
# mode,kinetic
frame_index,pixel_index,intensity
0,0,94
0,1,94
0,2,95
0,3,96
0,4,94
0,5,94
0,6,94
0,7,94
0,8,94
0,9,92
0,10,95
0,11,94
0,12,94
0,13,94
0,14,94
0,15,94
0,16,95
0,17,95
0,18,93
0,19,92
0,20,92
0,21,93
0,22,95
0,23,95
0,24,94
0,25,95
0,26,94
0,27,93
0,28,94
0,29,94
0,30,93
0,31,94
0,32,95
0,33,94
0,34,95
0,35,94
0,36,94
0,37,94
0,38,93
0,39,93
0,40,95
0,41,93
0,42,95
0,43,93
0,44,94
0,45,95
0,46,95
0,47,94
0,48,94
0,49,93
0,50,93
0,51,95
0,52,95
0,53,93
0,54,93
0,55,93
0,56,93
0,57,95
0,58,93
0,59,93
0,60,93
0,61,94
0,62,95
0,63,95
0,64,96
0,65,99
0,66,101
0,67,97
0,68,95
0,69,94
0,70,95
0,71,94
0,72,93
0,73,94
0,74,93
0,75,94
0,76,93
0,77,94
0,78,94
0,79,95
0,80,96
0,81,94
0,82,94
0,83,94
0,84,95
0,85,94
0,86,94
0,87,94
0,88,95
0,89,94
0,90,95
0,91,92
0,92,93
0,93,93
0,94,93
0,95,95
0,96,93
0,97,95
0,98,96
0,99,94
0,100,96
0,101,96
0,102,93
0,103,95
0,104,94
0,105,96
0,106,95
0,107,96
0,108,96
0,109,94
0,110,95
0,111,96
0,112,94
0,113,94
0,114,94
0,115,96
0,116,96
0,117,94
0,118,94
0,119,95
0,120,96
0,121,95
0,122,97
0,123,95
0,124,94
0,125,95
0,126,96
0,127,95
0,128,96
0,129,96
0,130,96
0,131,97
0,132,97
0,133,96
0,134,97
0,135,96
0,136,95
0,137,96
0,138,97
0,139,95
0,140,95
0,141,96
0,142,95
0,143,94
0,144,97
0,145,96
0,146,95
0,147,96
0,148,96
0,149,95
0,150,97
0,151,96
0,152,95
0,153,97
0,154,96
0,155,95
0,156,96
0,157,95
0,158,94
0,159,97
0,160,96
0,161,96
0,162,94
0,163,96
0,164,96
0,165,96
0,166,95
0,167,96
0,168,97
0,169,96
0,170,96
0,171,98
0,172,95
0,173,97
0,174,96
0,175,96
0,176,96
0,177,96
0,178,96
0,179,96
0,180,96
0,181,97
0,182,96
