pixel_index,raman_shift_cm-1,intensity
0,508.703,504.0
1,508.703,547.0
2,508.703,507.0
3,508.703,481.0
4,508.703,509.0
5,508.703,518.0
6,508.703,569.0
7,508.703,575.0
8,508.703,449.0
