# laser_power_pct,10
# exposure_time,0.5
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-224.942,525.7294,655
1,-221.874,525.8142,651
2,-218.808,525.8990,660
3,-215.742,525.9838,661
4,-212.678,526.0686,648
5,-209.615,526.1534,656
6,-206.553,526.2381,651
7,-203.493,526.3229,651
8,-200.433,526.4077,654
9,-197.375,526.4924,655
10,-194.318,526.5772,669
11,-191.263,526.6619,661
12,-188.208,526.7467,657
13,-185.155,526.8314,652
14,-182.103,526.9161,655
15,-179.052,527.0008,647
16,-176.002,527.0855,646
17,-172.953,527.1703,651
18,-169.906,527.2550,652
19,-166.860,527.3397,653
20,-163.815,527.4243,664
21,-160.771,527.5090,654
22,-157.728,527.5937,645
23,-154.687,527.6784,652
24,-151.647,527.7630,656
25,-148.608,527.8477,658
26,-145.570,527.9324,652
27,-142.533,528.0170,643
28,-139.498,528.1017,651
29,-136.464,528.1863,650
30,-133.431,528.2709,648
31,-130.399,528.3555,654
32,-127.368,528.4402,652
33,-124.339,528.5248,649
34,-121.310,528.6094,649
35,-118.283,528.6940,656
36,-115.257,528.7786,657
37,-112.233,528.8632,657
38,-109.209,528.9477,653
39,-106.187,529.0323,649
40,-103.166,529.1169,651
41,-100.146,529.2014,648
42,-97.127,529.2860,656
43,-94.109,529.3705,655
44,-91.093,529.4551,652
45,-88.077,529.5396,655
46,-85.063,529.6242,659
47,-82.050,529.7087,651
48,-79.039,529.7932,653
49,-76.028,529.8777,654
50,-73.019,529.9622,650
51,-70.011,530.0467,656
52,-67.004,530.1312,654
53,-63.998,530.2157,658
54,-60.993,530.3002,647
55,-57.990,530.3847,657
56,-54.987,530.4691,651
57,-51.986,530.5536,650
58,-48.986,530.6381,653
59,-45.988,530.7225,649
60,-42.990,530.8070,647
61,-39.994,530.8914,661
62,-36.998,530.9758,647
63,-34.004,531.0603,655
64,-31.011,531.1447,665
65,-28.020,531.2291,654
66,-25.029,531.3135,661
67,-22.040,531.3979,657
68,-19.051,531.4823,662
69,-16.064,531.5667,648
70,-13.078,531.6511,655
71,-10.094,531.7355,652
72,-7.110,531.8198,663
73,-4.128,531.9042,651
74,-1.146,531.9886,642
75,1.834,532.0729,651
76,4.813,532.1573,649
77,7.790,532.2416,649
78,10.767,532.3259,661
79,13.742,532.4103,663
80,16.717,532.4946,674
81,19.690,532.5789,657
82,22.662,532.6632,657
83,25.632,532.7475,658
84,28.602,532.8318,652
85,31.570,532.9161,656
86,34.538,533.0004,657
87,37.504,533.0847,652
88,40.469,533.1689,652
89,43.433,533.2532,657
90,46.395,533.3375,654
91,49.357,533.4217,655
92,52.317,533.5060,651
93,55.276,533.5902,647
94,58.234,533.6744,646
95,61.191,533.7587,658
96,64.147,533.8429,650
97,67.102,533.9271,656
98,70.055,534.0113,656
99,73.007,534.0955,659
100,75.958,534.1797,655
101,78.908,534.2639,652
102,81.857,534.3481,655
103,84.805,534.4323,664
104,87.752,534.5164,654
105,90.697,534.6006,652
106,93.641,534.6847,658
107,96.584,534.7689,658
108,99.526,534.8530,659
109,102.467,534.9372,660
110,105.407,535.0213,666
111,108.345,535.1054,668
