pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
0,-224.98707721426302,3.2365205320422774,657.7634794679577
1,-221.91911876570094,11.24360588423258,657.7563941157674
2,-218.85236724334496,16.25045133286733,657.7495486671327
3,-215.78682206129875,9.257058899542017,657.742941100458
4,-212.72248263402804,1.263430597373599,657.7365694026264
5,-209.65934837637164,1.269568431015955,657.730431568984
6,-206.59741870351954,2.275474396676259,657.7245256033237
7,-203.53669303101736,6.281150482130329,657.7188495178697
8,-200.47717077479894,11.286598666739337,657.7134013332607
9,-197.41885135113193,0.0,657.7081790785352
10,-194.3617341766614,15.296819208885267,657.7031807911147
11,-191.30581866839665,10.3015954832116,657.6984045167884
12,-188.25110424369393,9.306151690303523,657.6938483096965
13,-185.19759032028028,1.3104897676851124,657.6895102323149
14,-182.14527631623625,0.0,657.6853883554394
15,-179.09416165001747,3.3185192418308134,657.6814807581692
16,-176.04424574041997,5.322214472108499,657.6777855278915
17,-172.99552800660848,1.3256992397347176,657.6743007602653
18,-169.94800786810987,1.3289754407944656,657.6710245592055
19,-166.90168474480654,8.332044963132603,657.6679550368674
20,-163.8565580569366,4.334909686369883,657.6650903136301
21,-160.8126272251067,0.33757148191875785,657.6624285180812
22,-157.76989167027264,0.0,657.6599677870004
23,-154.72835081374592,3.342293734655982,657.657706265344
24,-151.6880040772022,4.344357893771189,657.6556421062288
25,-148.6488508826815,2.3462265290839923,657.653773470916
26,-145.61089065255996,0.0,657.6520985287958
27,-142.5741228095823,0.0,657.6506154573708
28,-139.5385467768619,6.350677557759127,657.6493224422409
29,-136.50416197784386,8.35178232291355,657.6482176770864
30,-133.4709678363485,7.352700636346867,657.6472993636531
31,-130.4389637765452,7.353434288264339,657.6465657117357
32,-127.40814922295243,0.3539850608378856,657.6460149391621
33,-124.3785236004595,0.0,657.6456452717775
34,-121.35008633428964,2.3545450565712827,657.6454549434287
35,-118.32283685004556,1.3545578040524333,657.6454421959476
36,-115.29677457365085,3.3543947208642066,657.6456052791358
37,-112.27189893141947,10.354057549251479,657.6459424507485
38,-109.24820934999713,6.353548023521057,657.6464519764789
39,-106.22570525639163,8.352867870058276,657.6471321299417
40,-103.2043860779556,1.352018807342347,657.6479811926577
41,-100.18425124239724,7.351002545962729,657.6489974540373
42,-97.16530017778473,4.349820788634474,657.6501792113655
