pixel_index,raman_shift_cm-1,corrected_intensity,background_intensity
42,-99.8500639756597,258.70649109171063,398.29350890828937
43,-96.82390953933078,246.29251063470804,405.70748936529196
44,-93.79895091832583,240.91121599582488,413.0887840041751
45,-90.77518752909899,242.56248109497471,420.4375189050253
46,-87.75261878846011,245.24618025195338,427.7538197480466
47,-84.7312441135898,225.9621881856895,435.0378118143105
48,-81.7110629220243,212.7103800134945,442.2896199865055
49,-78.6920746316728,211.4906312503133,449.5093687496867
50,-75.67427866078928,210.30281780797424,456.69718219202576
51,-72.6576744280007,196.14681599443946,463.85318400556054
52,-69.64226135229828,192.02250251305531,470.9774974869447
53,-66.62803885302019,181.92975446180264,478.07024553819736
54,-63.615006349890606,171.8684493325469,485.1315506674531
55,-60.603163262963264,159.83846501028864,492.16153498971136
56,-57.5925090126779,162.8396797724135,499.1603202275865
57,-54.58304301981468,152.87197228794292,506.1280277120571
58,-51.574764705535415,137.93522161678402,513.064778383216
59,-48.567673491335846,141.0293072089804,519.9706927910196
60,-45.561768799089016,127.15410890396163,526.8458910960384
61,-42.55705005102141,125.30950692979445,533.6904930702055
62,-39.553516669717325,120.4953819024322,540.5046180975678
63,-36.55116807812098,117.71161482496609,547.2883851750339
64,-33.550003699534415,119.95808708687434,554.0419129131257
65,-30.550022957619593,124.23468046327343,560.7653195367266
66,-27.551225276385445,109.54127711416777,567.4587228858322
67,-24.55361008020735,102.87775958370048,574.1222404162995
68,-21.55717679382498,80.24401079940333,580.7559892005967
69,-18.561924842311946,66.63991407144704,587.360085928553
70,-15.567853651123498,61.06535309189189,593.9346469081081
71,-12.574962646053153,60.52021193393739,600.4797880660626
72,-9.583251253254387,58.00437505117327,606.9956249488267
73,-6.592718899247132,41.517727276829305,613.4822727231707
74,-3.603365010891764,38.060153823025985,619.939846176974
75,-0.6151890154064421,31.631540280024524,626.3684597199755
76,2.371809659628549,28.231772615476757,632.7682273845232
77,5.357631586290316,20.860737173676284,639.1392628263237
78,8.34227733628734,25.518320674808365,645.4816793251916
79,11.325747480978986,4.204410214200038,651.7955897858
80,14.308042591384181,11.918893261570588,658.0811067384294
81,17.289163238153222,0.0,664.3383423397185
82,20.26910999158296,0.0,670.5674083734121
83,23.247883421629798,0.0,676.768416251113
84,26.225484097888025,0.0,682.9414770130298
85,29.201912589600642,0.0,689.0867013287282
86,32.17716946566371,0.0,695.2041994978794
87,35.151255294622004,0.0,701.2940814510104
88,38.124170644658186,0.0,707.356456750254
89,41.09591608362096,0.0,713.3914345900979
90,44.066492178986095,0.0,719.3991237981348
91,47.03589949790624,0.0,725.3796328358121
92,50.00413860715243,0.0,731.3330697991814
93,52.97121007317041,0.0,737.2595424196484
94,55.937114462059014,0.0,743.1591580647223
95,58.901852339537584,0.0,749.0320237387663
96,61.86542427100888,22.121753916253965,754.878246083746
97,64.82783082150702,86.3020686200191,760.6979313799809
98,67.78907255572787,162.5088144531079,766.4911855468921
99,70.74915003800736,246.74188585624654,772.2581141437535
100,73.70806383234958,351.00117762955904,777.998822370441
101,76.66581450239876,422.2865849318181,783.7134150681819
102,79.62240261146295,491.59800327969435,789.4019967203056
103,82.57782872247728,523.9353285470078,795.0646714529922
104,85.53209339806676,541.2984569639776,800.7015430360224
105,88.48519720047916,572.687285116472,806.312714883528
106,91.43714069163477,570.1017099452594,811.8982900547406
107,94.3879244330939,552.5416287452575,817.4583712547425
108,97.33754898608301,516.0069391647852,822.9930608352148
109,100.28601491147721,547.4975392048112,828.5024607951888
110,103.23332276980686,537.0133272182056,833.9866727817944
111,106.17947312124669,535.5542019089893,839.4457980910107
112,109.12446652565268,554.1200623315848,844.8799376684152
113,112.0683035425122,521.7108078900665,850.2891921099335
114,115.01098473097865,528.3263383374106,855.6736616625894
115,117.95251064985199,534.9665537747454,861.0334462252546
116,120.89288185760913,506.6313546506025,866.3686453493975
117,123.83209891236478,491.3206417601657,871.6793582398343
118,126.77016237188894,475.0343162445224,876.9656837554776
119,129.70707279362418,475.77227958991307,882.2277204100869
120,132.64283073466171,488.5344336269824,887.4655663730176
121,135.5774367517502,481.320680530029,892.679319469971
122,138.51089140128926,481.1309228162554,897.8690771837446
123,141.44319523935744,472.9650633450192,903.0349366549808
124,144.37434882166693,471.8230053170829,908.1769946829171
125,147.30435270360678,444.7046522738641,913.2953477261359
126,150.23320744021913,471.6099080966857,918.3900919033143
127,153.16091358619914,431.53867700602655,923.4613229939735
128,156.08747169591027,444.4908635607716,928.5091364392284
129,159.01288232336677,448.4663726574621,933.5336273425379
130,161.93714602225333,428.465109529546,938.534890470454
131,164.86026334590775,430.4869797466283,943.5130202533717
132,167.782234847336,412.5318892137208,948.4681107862792
133,170.703061079195,433.59974417049295,953.400255829507
134,173.62274259380547,417.69045119052225,958.3095488094777
135,176.54127994315428,437.8039171805442,963.1960828194558
136,179.45867367888565,394.9400493797027,968.0599506202973
137,182.37492435230772,403.09875535879996,972.9012446412
138,185.29003251439033,411.27994301954755,977.7200569804525
139,188.20399871576078,420.48352059381625,982.5164794061837
140,191.11682350671884,395.70939664288596,987.290603357114
141,194.02850743721743,418.9574800566969,992.0425199433031
142,196.93905105687978,402.2276800530991,996.7723199469009
143,199.8484549149888,416.51990617710305,1001.480093822897
144,202.75671956049334,410.83406830012984,1006.1659316998702
145,205.6638455420019,375.17007661926186,1010.8299233807381
146,208.5698334077955,371.52784165649246,1015.4721583435075
147,211.4746837058039,381.9072742579764,1020.0927257420236
148,214.37839698364678,402.30828559328074,1024.6917144067193
149,217.28097378858388,369.7307871546343,1029.2692128453657
150,220.1824146675496,358.1746907561783,1033.8253092438217
151,223.0827201671489,388.63990853321684,1038.3600914667832
152,225.98189083364827,420.12635294146685,1042.8736470585332
153,228.87992721298258,348.6339367563087,1047.3660632436913
