pixel_index,raman_shift_cm-1,intensity
0,-224.846,96.0
1,-221.778,95.4
2,-218.712,95.6
3,-215.647,95.8
4,-212.583,96.0
5,-209.521,96.0
6,-206.460,95.4
7,-203.399,95.6
8,-200.340,95.8
9,-197.283,94.8
10,-194.226,96.6
11,-191.171,95.4
12,-188.116,95.4
13,-185.064,95.0
14,-182.012,93.8
15,-178.961,95.4
16,-175.912,95.0
17,-172.864,95.0
18,-169.817,95.2
19,-166.771,95.2
20,-163.726,94.6
21,-160.683,95.0
22,-157.641,94.2
23,-154.600,95.6
24,-151.560,94.8
25,-148.521,95.2
26,-145.484,95.2
27,-142.447,95.2
28,-139.412,95.2
29,-136.379,96.2
30,-133.346,96.2
31,-130.314,95.4
32,-127.284,95.0
33,-124.255,95.4
34,-121.227,94.6
35,-118.200,95.4
36,-115.175,94.4
37,-112.150,95.0
38,-109.127,95.0
39,-106.105,95.4
40,-103.084,95.0
41,-100.065,96.2
42,-97.046,94.8
43,-94.029,95.6
44,-91.013,95.8
45,-87.998,96.2
46,-84.984,95.4
47,-81.972,95.2
48,-78.960,95.0
49,-75.950,95.4
50,-72.941,95.0
51,-69.933,95.4
52,-66.927,94.8
53,-63.921,94.6
54,-60.917,94.6
55,-57.914,95.0
56,-54.912,96.0
57,-51.911,95.4
58,-48.912,95.4
59,-45.913,95.4
60,-42.916,95.2
61,-39.920,96.4
62,-36.925,95.4
63,-33.931,95.4
64,-30.939,96.4
65,-27.947,96.6
66,-24.957,96.4
67,-21.968,95.4
68,-18.980,95.8
69,-15.993,95.8
70,-13.008,95.6
71,-10.023,95.0
72,-7.040,95.6
73,-4.058,94.2
74,-1.077,94.4
75,1.903,95.2
76,4.881,95.8
77,7.859,94.8
78,10.835,95.0
79,13.810,95.6
80,16.784,97.6
81,19.757,95.4
82,22.728,94.8
83,25.699,94.8
84,28.668,94.4
85,31.636,94.8
86,34.603,95.6
87,37.569,95.6
88,40.534,95.4
89,43.497,95.0
90,46.460,94.6
91,49.421,94.6
92,52.381,94.8
93,55.340,95.8
94,58.297,95.8
95,61.254,95.2
96,64.209,95.2
97,67.164,96.2
98,70.117,95.4
99,73.069,95.6
100,76.020,95.6
101,78.969,96.4
102,81.918,96.2
103,84.865,96.6
104,87.811,95.8
105,90.757,95.4
106,93.700,95.8
107,96.643,95.4
108,99.585,96.0
109,102.525,97.0
110,105.465,95.8
111,108.403,96.6
112,111.340,96.8
113,114.276,96.0
114,117.211,96.2
115,120.144,96.4
116,123.077,95.0
117,126.008,95.6
118,128.938,95.8
119,131.868,96.0
120,134.795,96.6
121,137.722,96.4
122,140.648,97.0
123,143.572,96.0
124,146.496,96.2
125,149.418,96.2
126,152.339,96.6
127,155.259,95.2
128,158.178,95.0
129,161.096,95.6
130,164.012,96.6
131,166.928,95.8
132,169.842,96.4
133,172.755,96.2
134,175.667,95.2
135,178.578,96.4
136,181.488,96.8
137,184.397,96.4
138,187.304,97.6
139,190.211,96.8
140,193.116,95.6
141,196.020,96.4
142,198.923,95.6
143,201.825,96.6
144,204.726,97.0
145,207.625,97.2
146,210.524,96.2
147,213.421,97.4
148,216.318,96.6
149,219.213,96.0
150,222.107,96.2
151,225.000,96.6
152,227.891,96.6
153,230.782,96.2
154,233.672,96.8
155,236.560,96.2
156,239.447,96.6
157,242.333,96.8
158,245.218,96.6
159,248.102,96.2
160,250.985,96.4
161,253.867,96.6
162,256.748,97.0
163,259.627,96.6
164,262.505,97.0
165,265.383,96.0
166,268.259,96.8
167,271.134,97.0
168,274.008,97.0
169,276.880,96.2
170,279.752,96.2
171,282.623,96.6
172,285.492,96.0
173,288.360,97.0
174,291.228,96.4
175,294.094,96.4
176,296.959,97.0
177,299.823,96.4
178,302.685,96.4
179,305.547,96.8
180,308.408,96.8
181,311.267,96.8
182,314.126,96.0
183,316.983,96.6
184,319.839,96.8
185,322.694,96.0
186,325.548,96.2
187,328.401,96.8
188,331.253,98.0
189,334.103,96.2
190,336.953,96.2
191,339.801,97.0
192,342.649,97.4
193,345.495,96.8
194,348.340,96.4
195,351.184,96.2
196,354.027,96.8
197,356.869,95.8
198,359.709,96.0
199,362.549,95.6
200,365.388,98.0
201,368.225,96.4
202,371.061,96.0
203,373.897,96.4
204,376.731,97.2
205,379.564,96.6
206,382.396,96.6
207,385.227,96.8
208,388.057,97.0
209,390.885,97.2
210,393.713,97.4
211,396.539,96.2
212,399.365,97.0
213,402.189,96.6
214,405.012,95.8
215,407.835,96.6
216,410.656,96.6
217,413.476,97.0
218,416.295,96.6
219,419.112,96.0
220,421.929,96.8
221,424.745,97.0
222,427.559,96.4
223,430.373,96.8
224,433.185,97.0
225,435.996,96.6
226,438.807,96.8
227,441.616,96.4
228,444.424,96.2
229,447.231,96.6
230,450.037,96.6
231,452.842,96.8
232,455.645,96.8
233,458.448,96.6
234,461.250,96.8
235,464.050,97.0
236,466.849,97.0
237,469.648,96.4
238,472.445,95.6
239,475.241,96.8
240,478.036,97.0
241,480.830,97.4
242,483.623,97.4
243,486.415,97.4
244,489.206,97.0
245,491.996,98.6
246,494.784,99.2
247,497.572,100.0
248,500.358,100.6
249,503.144,102.2
250,505.928,105.6
251,508.712,106.2
252,511.494,104.6
253,514.275,100.6
254,517.055,98.2
255,519.834,98.2
256,522.612,97.2
257,525.389,97.2
258,528.165,97.0
259,530.940,96.4
260,533.713,97.0
261,536.486,97.4
262,539.257,96.4
263,542.028,96.6
264,544.797,97.2
265,547.566,97.2
266,550.333,96.4
267,553.099,96.2
268,555.864,97.8
269,558.629,98.4
270,561.392,97.2
271,564.154,98.0
272,566.915,97.4
273,569.674,97.0
274,572.433,96.2
275,575.191,97.0
276,577.948,96.2
277,580.703,97.2
278,583.458,96.8
279,586.211,96.2
280,588.964,97.0
281,591.715,97.2
282,594.466,97.6
283,597.215,97.8
284,599.963,96.8
285,602.710,96.6
286,605.457,97.0
287,608.202,96.6
288,610.946,96.6
289,613.689,97.4
290,616.431,96.4
291,619.172,97.6
292,621.911,96.8
293,624.650,97.0
294,627.388,96.2
295,630.125,97.4
296,632.860,96.8
297,635.595,97.2
298,638.328,97.6
299,641.061,97.0
300,643.792,96.2
301,646.523,98.2
302,649.252,96.2
303,651.980,97.2
304,654.708,96.8
305,657.434,97.6
306,660.159,97.2
307,662.883,97.4
308,665.606,96.8
309,668.328,96.4
310,671.049,96.2
311,673.769,97.8
312,676.488,96.6
313,679.206,96.8
314,681.923,97.0
315,684.639,96.6
316,687.354,97.2
317,690.067,96.6
318,692.780,96.8
319,695.492,97.2
320,698.202,97.8
321,700.912,97.0
322,703.621,96.6
323,706.328,97.2
324,709.035,97.2
325,711.740,98.0
326,714.444,96.4
327,717.148,97.0
328,719.850,97.2
329,722.552,97.2
330,725.252,97.6
331,727.951,97.4
332,730.649,97.4
333,733.347,96.8
334,736.043,97.4
335,738.738,97.6
336,741.432,97.4
337,744.125,96.6
338,746.817,98.0
339,749.508,97.6
340,752.198,97.8
341,754.887,97.8
342,757.575,98.0
343,760.262,97.8
344,762.948,97.6
345,765.633,96.8
346,768.317,96.8
347,770.999,96.8
348,773.681,98.0
349,776.362,98.0
350,779.042,97.6
351,781.720,97.2
352,784.398,96.8
353,787.075,98.2
354,789.751,97.2
355,792.425,97.0
356,795.099,97.8
357,797.771,97.2
358,800.443,97.8
359,803.114,97.4
360,805.783,97.6
361,808.452,97.2
362,811.119,97.8
363,813.786,97.6
364,816.451,97.8
365,819.116,97.2
366,821.779,97.6
367,824.442,98.4
368,827.103,97.4
369,829.763,97.2
370,832.423,97.0
371,835.081,98.2
372,837.739,97.0
373,840.395,97.0
374,843.050,97.2
375,845.705,98.2
376,848.358,97.2
377,851.010,97.0
378,853.662,97.6
379,856.312,97.6
380,858.961,96.6
381,861.610,97.6
382,864.257,97.8
383,866.903,97.6
384,869.549,98.0
385,872.193,98.2
386,874.836,97.2
387,877.478,97.2
388,880.120,97.6
389,882.760,97.4
390,885.399,98.0
391,888.037,98.4
392,890.675,97.6
393,893.311,97.6
394,895.946,98.6
395,898.580,97.4
396,901.214,97.6
397,903.846,97.8
398,906.477,97.6
399,909.107,98.2
400,911.737,97.4
