# laser_power_pct,40
# exposure_time,0.2
# mode,kinetic
frame_index,pixel,intensity
0,0,650
0,1,645
0,2,646
0,3,647
0,4,648
0,5,654
0,6,647
0,7,649
0,8,655
0,9,645
0,10,655
0,11,657
0,12,641
0,13,651
0,14,650
0,15,650
0,16,657
0,17,643
0,18,647
0,19,647
0,20,652
0,21,651
0,22,655
0,23,647
0,24,647
0,25,648
0,26,649
0,27,646
0,28,647
0,29,652
0,30,646
0,31,655
0,32,648
0,33,647
0,34,644
0,35,641
0,36,650
0,37,651
0,38,651
0,39,647
0,40,642
0,41,651
0,42,652
0,43,648
0,44,645
0,45,649
0,46,651
0,47,643
0,48,648
0,49,648
0,50,649
0,51,648
0,52,655
0,53,649
0,54,652
0,55,646
0,56,650
0,57,651
0,58,641
0,59,642
0,60,648
0,61,651
0,62,647
0,63,660
0,64,713
0,65,1057
0,66,1057
0,67,664
0,68,652
0,69,649
0,70,646
0,71,645
0,72,654
0,73,650
0,74,645
0,75,650
0,76,643
0,77,644
0,78,660
0,79,658
0,80,661
0,81,643
0,82,649
0,83,640
0,84,645
0,85,649
0,86,658
0,87,643
0,88,652
0,89,652
0,90,649
0,91,646
0,92,648
0,93,647
0,94,650
0,95,660
0,96,651
0,97,648
0,98,653
0,99,659
0,100,660
0,101,659
0,102,658
0,103,665
0,104,653
0,105,657
0,106,652
0,107,657
0,108,655
0,109,655
0,110,658
0,111,661
0,112,653
0,113,660
0,114,659
0,115,652
0,116,651
0,117,650
0,118,652
0,119,649
0,120,655
0,121,655
0,122,659
0,123,657
0,124,655
0,125,663
0,126,657
0,127,663
0,128,652
0,129,656
0,130,651
0,131,655
0,132,661
0,133,657
0,134,650
0,135,662
0,136,656
0,137,656
0,138,652
0,139,656
0,140,665
0,141,664
0,142,660
0,143,661
0,144,670
0,145,662
0,146,658
0,147,669
0,148,661
0,149,666
0,150,666
0,151,657
0,152,663
0,153,668
0,154,660
0,155,655
0,156,664
0,157,658
0,158,659
0,159,665
0,160,666
0,161,677
0,162,659
0,163,666
0,164,668
0,165,663
0,166,664
0,167,669
0,168,666
0,169,663
0,170,671
0,171,676
0,172,676
0,173,660
0,174,668
0,175,668
0,176,668
0,177,677
0,178,673
0,179,678
0,180,662
0,181,674
0,182,659
0,183,662
0,184,667
0,185,660
0,186,660
0,187,668
0,188,675
0,189,657
0,190,655
0,191,658
0,192,659
0,193,662
0,194,663
0,195,662
0,196,657
0,197,654
0,198,663
0,199,657
0,200,654
0,201,654
0,202,654
0,203,658
0,204,656
0,205,661
0,206,657
0,207,657
0,208,660
0,209,664
0,210,657
0,211,663
0,212,656
0,213,660
0,214,656
0,215,652
0,216,660
0,217,663
0,218,664
0,219,658
0,220,662
0,221,654
0,222,659
0,223,655
0,224,662
0,225,652
0,226,652
0,227,654
0,228,652
0,229,650
0,230,663
0,231,658
0,232,653
0,233,652
0,234,657
0,235,655
0,236,656
0,237,659
0,238,663
0,239,659
0,240,665
0,241,664
0,242,661
0,243,671
0,244,687
0,245,712
0,246,816
0,247,842
0,248,942
0,249,1129
0,250,1424
0,251,1602
0,252,1254
0,253,926
0,254,761
0,255,708
0,256,695
0,257,679
0,258,675
0,259,673
0,260,658
0,261,664
0,262,670
0,263,663
0,264,655
0,265,658
0,266,656
0,267,650
0,268,647
0,269,665
0,270,657
0,271,652
0,272,656
0,273,654
0,274,657
0,275,654
0,276,654
0,277,664
0,278,661
0,279,658
0,280,651
0,281,659
0,282,658
0,283,662
0,284,659
0,285,651
0,286,657
0,287,656
0,288,663
0,289,651
0,290,656
0,291,658
0,292,654
0,293,652
0,294,653
0,295,651
0,296,657
0,297,662
0,298,656
0,299,659
0,300,656
0,301,659
0,302,658
0,303,660
0,304,655
0,305,656
0,306,650
0,307,672
0,308,662
0,309,658
0,310,652
0,311,657
0,312,658
0,313,665
0,314,651
0,315,651
0,316,650
0,317,649
0,318,651
0,319,654
0,320,654
0,321,658
0,322,652
0,323,667
0,324,656
0,325,653
0,326,653
0,327,662
0,328,660
0,329,653
0,330,654
0,331,650
0,332,655
0,333,661
0,334,647
0,335,657
0,336,654
0,337,656
0,338,657
0,339,673
0,340,665
0,341,657
0,342,657
0,343,660
0,344,656
0,345,653
0,346,650
0,347,660
0,348,660
0,349,654
0,350,661
0,351,661
0,352,656
0,353,655
0,354,659
0,355,657
0,356,662
0,357,655
0,358,658
0,359,652
0,360,655
0,361,655
0,362,654
0,363,660
0,364,661
0,365,660
0,366,661
0,367,659
0,368,662
0,369,665
0,370,658
0,371,656
0,372,657
0,373,648
0,374,657
0,375,656
0,376,655
0,377,657
0,378,658
0,379,653
0,380,661
0,381,656
0,382,657
0,383,661
0,384,655
0,385,660
0,386,656
0,387,657
0,388,653
0,389,654
0,390,655
0,391,657
0,392,660
0,393,657
0,394,653
0,395,660
0,396,659
0,397,664
0,398,663
0,399,666
0,400,659
0,401,668
0,402,666
0,403,674
0,404,670
0,405,683
0,406,693
0,407,683
0,408,683
0,409,693
0,410,687
0,411,692
0,412,685
0,413,688
0,414,691
0,415,683
0,416,692
0,417,681
0,418,692
0,419,701
0,420,691
0,421,698
0,422,689
0,423,698
0,424,689
0,425,682
0,426,687
0,427,680
0,428,674
0,429,676
0,430,675
0,431,674
0,432,664
0,433,669
0,434,656
