date,time,title,x,y,power_pct,exposure_s,mode,max_intensity,sum_intensity,peak_raman_shift_cm-1
2026-07-29,18:10:54,"(37.0, 25.0) · 40% · 0.2s",37.0,25.0,40,0.2,single,2090.0,677711.0,2007.32
2026-07-29,18:11:12,"(38.0, 26.0) · 40% · 0.2s",38.0,26.0,40,0.2,single,1607.0,683332.0,510.68
