x,y,strongest_peak_position,strongest_peak_intensity
40.0,27.0,508.49457001582357,117.0
40.1,27.0,605.2771517268941,415.0
40.2,27.0,508.49457001582357,115.0
40.0,27.1,508.49457001582357,117.0
40.1,27.1,508.49457001582357,113.0
40.2,27.1,508.49457001582357,116.0
40.0,27.2,508.49457001582357,119.0
40.1,27.2,508.49457001582357,120.0
40.2,27.2,508.49457001582357,116.0
