# laser_power_pct,10
# exposure_time,0.2
# mode,kinetic
frame_index,pixel,intensity
0,0,653
0,1,648
0,2,652
0,3,648
0,4,643
0,5,644
0,6,645
0,7,650
0,8,654
0,9,647
0,10,663
0,11,661
0,12,650
0,13,649
0,14,643
0,15,652
0,16,648
0,17,645
0,18,650
0,19,648
0,20,649
0,21,646
0,22,647
0,23,648
0,24,652
0,25,646
0,26,649
0,27,639
0,28,645
0,29,653
0,30,649
0,31,644
0,32,650
0,33,643
0,34,644
0,35,650
0,36,648
0,37,649
0,38,647
0,39,652
0,40,648
0,41,648
0,42,647
0,43,645
0,44,646
0,45,648
0,46,651
0,47,649
0,48,653
0,49,646
0,50,643
0,51,646
0,52,650
0,53,648
0,54,652
0,55,648
0,56,647
0,57,651
0,58,655
0,59,647
0,60,645
0,61,655
0,62,650
0,63,650
0,64,664
0,65,713
0,66,716
0,67,658
0,68,649
0,69,649
0,70,654
0,71,651
0,72,658
0,73,637
0,74,640
0,75,653
0,76,645
0,77,646
0,78,662
0,79,649
0,80,661
0,81,653
0,82,654
0,83,641
0,84,649
0,85,651
0,86,647
0,87,643
0,88,646
0,89,645
0,90,651
0,91,643
0,92,646
0,93,650
0,94,647
0,95,646
0,96,647
0,97,645
0,98,647
0,99,652
0,100,649
0,101,644
0,102,648
0,103,658
0,104,645
0,105,653
0,106,651
0,107,651
0,108,643
0,109,648
0,110,649
0,111,656
0,112,649
0,113,651
0,114,648
0,115,639
0,116,646
0,117,648
0,118,647
0,119,648
0,120,654
0,121,648
0,122,660
0,123,646
0,124,653
0,125,649
0,126,648
0,127,653
0,128,649
0,129,654
0,130,651
0,131,647
0,132,649
0,133,651
0,134,647
0,135,653
0,136,650
0,137,648
0,138,653
0,139,648
0,140,655
0,141,658
0,142,657
0,143,650
0,144,645
0,145,649
0,146,647
0,147,650
0,148,647
0,149,650
0,150,654
0,151,656
0,152,650
0,153,649
0,154,650
0,155,646
0,156,648
0,157,652
0,158,647
0,159,644
0,160,649
0,161,659
0,162,652
0,163,653
0,164,651
0,165,653
0,166,651
0,167,652
0,168,650
0,169,651
0,170,651
0,171,646
0,172,654
0,173,662
0,174,659
0,175,669
0,176,650
0,177,647
0,178,647
0,179,659
0,180,649
0,181,658
0,182,648
0,183,650
0,184,654
0,185,654
0,186,655
0,187,656
0,188,659
0,189,661
0,190,641
0,191,650
0,192,649
0,193,651
0,194,653
0,195,656
0,196,650
0,197,653
0,198,647
0,199,651
0,200,649
0,201,653
0,202,652
0,203,655
0,204,654
0,205,652
0,206,650
0,207,658
0,208,651
0,209,656
0,210,654
0,211,653
0,212,652
0,213,654
0,214,652
0,215,653
0,216,645
0,217,657
0,218,661
0,219,651
0,220,650
0,221,656
0,222,650
0,223,655
0,224,651
0,225,646
0,226,653
0,227,649
0,228,656
0,229,657
0,230,659
0,231,653
0,232,650
0,233,643
0,234,649
0,235,646
0,236,654
0,237,651
0,238,646
0,239,644
0,240,654
0,241,647
0,242,649
0,243,658
0,244,655
0,245,664
0,246,678
0,247,680
0,248,693
0,249,738
0,250,802
0,251,851
0,252,788
0,253,711
0,254,683
0,255,667
0,256,661
0,257,651
0,258,651
0,259,653
0,260,653
0,261,657
0,262,663
0,263,655
0,264,651
0,265,655
0,266,654
0,267,644
0,268,651
0,269,671
0,270,648
0,271,645
0,272,651
0,273,656
0,274,658
0,275,647
