# laser_power_pct,40.0
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.075,525.6704,649
1,-224.001,525.7554,648
2,-220.928,525.8404,649
3,-217.855,525.9253,652
4,-214.785,526.0103,647
5,-211.715,526.0952,647
6,-208.646,526.1802,643
7,-205.579,526.2651,649
8,-202.513,526.3500,647
9,-199.448,526.4350,653
10,-196.385,526.5199,661
11,-193.322,526.6048,656
12,-190.261,526.6897,646
13,-187.201,526.7746,647
14,-184.142,526.8595,649
15,-181.085,526.9444,647
16,-178.029,527.0292,648
17,-174.974,527.1141,645
18,-171.920,527.1990,645
19,-168.867,527.2838,646
20,-165.815,527.3687,647
21,-162.765,527.4535,649
22,-159.716,527.5384,643
23,-156.668,527.6232,649
24,-153.622,527.7080,652
25,-150.576,527.7929,640
26,-147.532,527.8777,646
27,-144.489,527.9625,645
28,-141.447,528.0473,647
29,-138.406,528.1321,648
30,-135.367,528.2169,647
31,-132.329,528.3017,650
32,-129.291,528.3865,648
33,-126.256,528.4712,646
34,-123.221,528.5560,648
35,-120.188,528.6407,651
36,-117.155,528.7255,653
37,-114.124,528.8102,648
38,-111.094,528.8950,651
39,-108.066,528.9797,648
40,-105.038,529.0645,648
41,-102.012,529.1492,659
42,-98.987,529.2339,653
43,-95.963,529.3186,648
44,-92.940,529.4033,642
45,-89.919,529.4880,650
46,-86.899,529.5727,656
47,-83.879,529.6574,648
48,-80.862,529.7420,654
49,-77.845,529.8267,652
50,-74.829,529.9114,644
51,-71.815,529.9960,647
52,-68.802,530.0807,646
53,-65.790,530.1653,644
54,-62.779,530.2500,652
55,-59.769,530.3346,644
56,-56.761,530.4192,655
57,-53.754,530.5039,647
58,-50.748,530.5885,644
59,-47.743,530.6731,643
60,-44.739,530.7577,654
61,-41.737,530.8423,648
62,-38.736,530.9269,649
63,-35.735,531.0114,659
64,-32.737,531.0960,676
65,-29.739,531.1806,693
66,-26.742,531.2651,905
67,-23.747,531.3497,675
68,-20.753,531.4343,660
69,-17.760,531.5188,647
70,-14.768,531.6033,646
71,-11.777,531.6879,651
72,-8.788,531.7724,663
73,-5.799,531.8569,643
74,-2.812,531.9414,653
75,0.174,532.0259,650
76,3.159,532.1104,648
77,6.142,532.1949,647
78,9.125,532.2794,659
79,12.106,532.3639,663
80,15.086,532.4483,666
81,18.065,532.5328,650
82,21.043,532.6173,646
83,24.019,532.7017,647
84,26.995,532.7862,650
85,29.969,532.8706,656
86,32.942,532.9550,650
87,35.914,533.0395,650
88,38.885,533.1239,650
89,41.854,533.2083,641
90,44.823,533.2927,655
91,47.790,533.3771,648
92,50.756,533.4615,653
93,53.721,533.5459,644
94,56.685,533.6303,647
95,59.647,533.7147,649
96,62.609,533.7990,642
97,65.569,533.8834,650
98,68.528,533.9678,652
99,71.486,534.0521,647
100,74.443,534.1364,653
101,77.398,534.2208,646
102,80.353,534.3051,654
103,83.306,534.3894,667
104,86.258,534.4738,652
105,89.209,534.5581,658
106,92.159,534.6424,659
107,95.107,534.7267,658
108,98.055,534.8110,650
109,101.001,534.8952,650
110,103.946,534.9795,656
111,106.890,535.0638,654
112,109.833,535.1481,665
113,112.775,535.2323,650
114,115.715,535.3166,651
