System,,,
Type,MANTARAY,,
Unit,WAVENUMBER,,
Rayleigh,532.021nm,,
Grating,1200gr,,
,,,
Measuring Condition,,,
Acquisition Mode,SINGLE,,
Exposure Time,0.2s,,
Laser Filter,532nm,,
ND Filter,20%,,
Lens Magnification,MPLFLN20x,,
X Pixels,1024,Y Pixels,255
,,,
,,,
X Axis Data,Y Axis Data,,
891.81,268,,
894.43,267,,
897.04,265,,
899.65,269,,
902.26,264,,
904.87,266,,
907.48,272,,
910.09,263,,
912.7,271,,
915.31,272,,
917.92,268,,
920.52,267,,
923.13,267,,
925.73,270,,
928.33,270,,
930.94,273,,
933.54,275,,
936.14,269,,
938.74,278,,
941.34,274,,
943.94,265,,
946.54,273,,
949.13,273,,
951.73,275,,
954.32,271,,
956.92,275,,
959.51,276,,
962.11,274,,
964.7,273,,
967.29,274,,
969.88,273,,
972.47,277,,
975.06,272,,
977.65,270,,
980.23,271,,
982.82,273,,
985.4,277,,
987.99,275,,
990.57,276,,
993.16,273,,
995.74,276,,
998.32,275,,
1000.9,269,,
1003.48,281,,
1006.06,284,,
1008.64,279,,
1011.22,275,,
1013.79,279,,
1016.37,279,,
1018.95,274,,
1021.52,281,,
1024.09,278,,
1026.67,277,,
1029.24,281,,
1031.81,283,,
1034.38,280,,
1036.95,280,,
1039.52,280,,
1042.09,278,,
1044.65,277,,
1047.22,275,,
1049.79,282,,
1052.35,276,,
1054.91,282,,
1057.48,286,,
1060.04,283,,
1062.6,286,,
1065.16,281,,
1067.72,279,,
1070.28,283,,
1072.84,287,,
1075.4,287,,
1077.95,291,,
1080.51,291,,
1083.07,285,,
1085.62,290,,
1088.17,289,,
1090.73,290,,
1093.28,291,,
1095.83,297,,
1098.38,290,,
1100.93,286,,
1103.48,294,,
1106.03,286,,
1108.57,289,,
1111.12,297,,
1113.67,302,,
1116.21,288,,
1118.76,295,,
1121.3,295,,
1123.84,294,,
1126.38,302,,
1128.92,299,,
1131.47,299,,
1134,303,,
1136.54,297,,
1139.08,303,,
1141.62,301,,
1144.15,305,,
1146.69,301,,
1149.22,310,,
1151.76,307,,
1154.29,300,,
1156.82,301,,
1159.36,309,,
1161.89,305,,
1164.42,303,,
1166.95,301,,
1169.47,311,,
1172,299,,
1174.53,301,,
1177.05,299,,
1179.58,302,,
1182.1,303,,
1184.63,303,,
1187.15,302,,
1189.67,306,,
1192.19,313,,
1194.71,310,,
1197.23,307,,
1199.75,308,,
1202.27,314,,
1204.79,299,,
1207.31,314,,
1209.82,313,,
1212.34,312,,
1214.85,312,,
1217.36,310,,
1219.88,316,,
1222.39,317,,
1224.9,315,,
1227.41,317,,
1229.92,314,,
1232.43,326,,
1234.94,322,,
1237.45,317,,
1239.95,327,,
1242.46,324,,
1244.96,328,,
1247.47,326,,
1249.97,328,,
1252.47,338,,
1254.97,328,,
1257.48,332,,
