# laser_power_pct,10
# exposure_time,1.00002
# mode,kinetic
frame_index,pixel_index,intensity
0,0,97
0,1,97
0,2,97
0,3,99
0,4,97
0,5,97
0,6,97
0,7,98
0,8,96
0,9,97
0,10,97
0,11,96
0,12,97
0,13,96
0,14,96
0,15,98
0,16,96
0,17,98
0,18,96
0,19,99
0,20,97
0,21,96
0,22,97
0,23,97
0,24,97
0,25,96
0,26,96
0,27,97
0,28,98
0,29,98
0,30,97
0,31,99
0,32,97
0,33,97
0,34,97
0,35,97
0,36,97
0,37,98
0,38,98
0,39,97
0,40,99
0,41,97
0,42,96
0,43,97
0,44,97
0,45,96
0,46,98
0,47,97
0,48,96
0,49,95
0,50,95
0,51,96
0,52,97
0,53,98
0,54,98
0,55,97
0,56,95
0,57,95
0,58,96
0,59,98
0,60,96
0,61,97
0,62,96
0,63,100
0,64,108
0,65,121
0,66,133
0,67,113
0,68,101
0,69,99
0,70,96
0,71,97
0,72,99
0,73,98
0,74,96
0,75,97
0,76,97
0,77,96
0,78,97
0,79,97
0,80,100
0,81,97
0,82,97
0,83,97
0,84,96
0,85,96
0,86,96
0,87,97
0,88,97
0,89,98
0,90,95
0,91,98
0,92,97
0,93,99
0,94,98
0,95,100
0,96,99
0,97,103
0,98,103
0,99,105
0,100,108
0,101,111
0,102,114
0,103,114
0,104,116
0,105,116
0,106,114
0,107,115
0,108,118
0,109,118
0,110,115
0,111,119
0,112,115
0,113,116
0,114,115
0,115,116
0,116,118
0,117,114
0,118,115
0,119,115
0,120,117
0,121,117
0,122,118
0,123,116
0,124,116
0,125,118
0,126,115
0,127,117
0,128,118
0,129,115
0,130,116
0,131,117
0,132,118
0,133,118
0,134,117
0,135,117
0,136,116
0,137,117
0,138,117
0,139,116
0,140,119
0,141,117
0,142,117
0,143,118
0,144,120
0,145,118
0,146,120
0,147,119
0,148,120
0,149,116
0,150,117
0,151,118
0,152,121
0,153,121
0,154,123
0,155,119
0,156,119
0,157,121
0,158,122
0,159,122
0,160,120
0,161,118
0,162,124
0,163,121
0,164,123
0,165,119
0,166,122
0,167,125
0,168,122
0,169,125
0,170,120
0,171,123
0,172,123
0,173,121
0,174,120
0,175,122
0,176,123
0,177,122
0,178,119
0,179,122
0,180,122
0,181,124
0,182,121
0,183,123
0,184,124
0,185,122
0,186,123
0,187,122
0,188,123
0,189,125
0,190,123
0,191,124
0,192,122
0,193,122
0,194,123
0,195,123
0,196,123
0,197,121
0,198,123
0,199,124
0,200,123
0,201,123
0,202,122
0,203,121
0,204,123
0,205,118
0,206,123
0,207,126
0,208,123
0,209,123
0,210,120
0,211,125
0,212,126
0,213,120
0,214,122
0,215,123
0,216,124
0,217,126
0,218,124
0,219,123
0,220,126
0,221,123
0,222,125
0,223,124
0,224,125
0,225,124
0,226,121
0,227,126
0,228,121
0,229,126
0,230,125
0,231,126
0,232,123
0,233,124
0,234,125
0,235,125
0,236,126
0,237,128
0,238,125
0,239,125
0,240,126
0,241,127
0,242,126
0,243,130
0,244,132
0,245,135
0,246,154
0,247,166
0,248,178
0,249,206
0,250,252
0,251,315
0,252,322
0,253,232
0,254,172
0,255,143
0,256,135
0,257,134
0,258,131
0,259,131
0,260,130
0,261,127
0,262,130
0,263,131
0,264,129
0,265,129
0,266,128
0,267,132
0,268,130
0,269,129
0,270,126
0,271,128
0,272,132
0,273,128
0,274,129
0,275,127
0,276,128
0,277,127
0,278,129
0,279,129
0,280,127
0,281,131
0,282,127
0,283,128
0,284,132
0,285,131
0,286,130
0,287,130
0,288,131
0,289,130
0,290,130
0,291,131
0,292,127
0,293,130
0,294,127
0,295,129
0,296,127
0,297,130
0,298,131
0,299,131
0,300,133
0,301,132
0,302,129
0,303,132
0,304,133
0,305,127
0,306,132
0,307,132
0,308,128
0,309,134
0,310,132
0,311,131
0,312,131
0,313,131
0,314,133
0,315,130
0,316,133
0,317,130
0,318,136
0,319,131
0,320,132
0,321,133
0,322,131
0,323,134
0,324,134
0,325,132
0,326,131
0,327,135
0,328,134
0,329,133
0,330,130
0,331,134
0,332,135
0,333,134
0,334,135
0,335,136
0,336,133
0,337,128
0,338,135
0,339,134
0,340,136
0,341,135
0,342,136
0,343,134
0,344,135
0,345,136
0,346,135
0,347,135
0,348,135
0,349,131
0,350,139
0,351,138
0,352,135
0,353,137
0,354,138
0,355,135
0,356,133
0,357,138
0,358,140
0,359,137
0,360,138
0,361,137
0,362,139
0,363,135
0,364,135
0,365,137
0,366,135
0,367,138
0,368,139
0,369,137
0,370,137
0,371,134
0,372,140
0,373,135
0,374,138
0,375,140
0,376,137
0,377,138
0,378,141
0,379,138
0,380,139
0,381,142
0,382,142
0,383,140
0,384,138
0,385,138
0,386,136
0,387,143
0,388,141
0,389,140
0,390,147
0,391,143
0,392,140
0,393,141
0,394,143
0,395,135
0,396,140
0,397,139
0,398,140
0,399,141
0,400,144
0,401,139
0,402,139
0,403,142
0,404,147
0,405,145
0,406,146
0,407,149
0,408,151
0,409,147
0,410,152
0,411,148
0,412,150
0,413,148
0,414,149
0,415,149
0,416,147
0,417,149
0,418,149
0,419,148
0,420,150
0,421,154
0,422,146
0,423,147
0,424,147
0,425,149
0,426,148
0,427,147
0,428,146
0,429,144
0,430,145
0,431,146
0,432,148
0,433,143
0,434,142
0,435,146
0,436,147
0,437,147
0,438,142
0,439,146
0,440,143
0,441,140
0,442,143
0,443,145
0,444,142
0,445,144
0,446,146
0,447,145
0,448,142
0,449,146
0,450,144
0,451,145
0,452,145
0,453,147
0,454,142
0,455,145
0,456,146
0,457,143
0,458,145
0,459,142
0,460,146
0,461,147
0,462,148
0,463,147
0,464,146
0,465,149
0,466,148
0,467,146
0,468,147
0,469,144
0,470,145
0,471,147
0,472,147
0,473,147
0,474,147
0,475,146
0,476,144
0,477,146
0,478,146
0,479,147
0,480,147
0,481,147
0,482,147
0,483,143
0,484,146
0,485,150
0,486,147
0,487,149
0,488,152
0,489,148
0,490,147
0,491,148
0,492,150
0,493,146
0,494,144
0,495,144
0,496,147
0,497,148
0,498,151
0,499,145
0,500,147
0,501,147
0,502,152
0,503,146
0,504,149
0,505,151
0,506,147
0,507,153
0,508,152
0,509,146
0,510,149
0,511,150
0,512,154
0,513,153
0,514,149
0,515,152
0,516,152
0,517,154
0,518,152
0,519,154
0,520,152
0,521,149
0,522,148
0,523,151
0,524,150
0,525,151
0,526,154
0,527,152
0,528,149
0,529,152
0,530,153
0,531,150
0,532,154
0,533,152
0,534,153
0,535,152
0,536,149
0,537,150
0,538,153
0,539,153
0,540,157
0,541,153
0,542,157
0,543,154
0,544,158
0,545,154
0,546,151
0,547,156
0,548,156
0,549,150
0,550,151
0,551,155
0,552,154
0,553,155
0,554,155
0,555,153
0,556,155
0,557,153
0,558,155
0,559,155
0,560,153
0,561,155
0,562,160
0,563,158
0,564,156
0,565,153
0,566,157
0,567,157
0,568,155
0,569,157
0,570,162
0,571,158
0,572,160
0,573,160
0,574,156
0,575,160
0,576,157
0,577,158
0,578,156
0,579,158
0,580,156
0,581,161
0,582,158
0,583,155
0,584,157
0,585,158
0,586,158
0,587,153
0,588,156
0,589,152
0,590,155
0,591,158
0,592,156
0,593,154
0,594,156
0,595,153
0,596,157
0,597,154
0,598,157
0,599,157
0,600,160
0,601,156
0,602,155
0,603,155
0,604,159
0,605,156
0,606,155
0,607,156
0,608,155
0,609,154
0,610,155
0,611,157
0,612,158
0,613,153
0,614,157
0,615,161
0,616,158
0,617,161
0,618,158
0,619,155
0,620,158
0,621,156
0,622,154
0,623,159
0,624,159
0,625,155
0,626,152
0,627,156
0,628,154
0,629,155
0,630,158
0,631,155
0,632,160
0,633,154
0,634,155
0,635,157
0,636,156
0,637,157
0,638,161
0,639,157
0,640,156
0,641,155
0,642,156
0,643,155
0,644,157
0,645,157
0,646,152
0,647,153
0,648,156
0,649,155
0,650,159
0,651,155
0,652,156
0,653,156
0,654,155
0,655,152
0,656,160
0,657,157
0,658,157
0,659,154
0,660,160
0,661,155
0,662,162
0,663,156
0,664,156
0,665,156
0,666,154
0,667,160
0,668,155
0,669,155
0,670,155
0,671,154
0,672,162
0,673,158
0,674,155
0,675,157
0,676,156
0,677,153
0,678,156
0,679,157
0,680,153
0,681,152
0,682,159
0,683,158
0,684,151
0,685,155
0,686,163
0,687,156
0,688,162
0,689,155
0,690,155
0,691,155
0,692,158
0,693,155
0,694,158
0,695,156
0,696,159
0,697,155
0,698,156
0,699,155
0,700,159
0,701,155
0,702,157
0,703,158
0,704,161
0,705,157
0,706,159
0,707,159
0,708,157
0,709,156
0,710,154
0,711,152
0,712,155
0,713,161
0,714,158
0,715,160
0,716,158
0,717,155
0,718,156
0,719,163
0,720,158
0,721,156
0,722,156
0,723,157
0,724,156
0,725,157
0,726,159
0,727,158
0,728,159
0,729,159
0,730,158
0,731,162
0,732,161
0,733,154
0,734,157
0,735,160
0,736,156
0,737,159
0,738,158
0,739,159
0,740,155
0,741,161
0,742,159
0,743,159
0,744,163
0,745,160
0,746,156
0,747,160
0,748,154
0,749,158
0,750,157
0,751,158
0,752,158
0,753,161
0,754,158
0,755,161
0,756,159
0,757,161
0,758,155
0,759,156
0,760,156
0,761,153
0,762,160
0,763,160
0,764,157
0,765,160
0,766,154
0,767,158
0,768,155
0,769,154
0,770,155
0,771,160
0,772,164
0,773,154
0,774,159
0,775,156
0,776,153
0,777,157
0,778,157
0,779,153
0,780,156
0,781,155
0,782,155
0,783,154
0,784,159
0,785,154
0,786,160
0,787,154
0,788,159
0,789,161
0,790,157
0,791,156
0,792,157
0,793,159
0,794,156
0,795,160
0,796,159
0,797,160
0,798,157
0,799,157
0,800,161
0,801,155
0,802,160
0,803,158
0,804,158
0,805,157
0,806,160
0,807,158
0,808,158
0,809,158
0,810,160
0,811,163
0,812,157
0,813,158
0,814,161
0,815,158
0,816,157
0,817,156
0,818,159
0,819,162
0,820,157
0,821,161
0,822,162
0,823,160
0,824,160
0,825,162
0,826,160
0,827,157
0,828,158
0,829,159
0,830,162
0,831,161
0,832,160
0,833,159
0,834,162
0,835,161
0,836,163
0,837,160
0,838,159
0,839,163
0,840,163
0,841,159
0,842,159
0,843,160
0,844,162
0,845,163
0,846,162
0,847,161
0,848,160
0,849,160
0,850,157
0,851,158
0,852,161
0,853,156
0,854,158
0,855,155
0,856,159
0,857,161
0,858,154
0,859,162
0,860,159
0,861,159
0,862,160
0,863,159
0,864,161
0,865,157
0,866,160
0,867,158
0,868,163
0,869,163
0,870,162
0,871,160
0,872,160
0,873,154
0,874,160
0,875,162
0,876,162
0,877,160
0,878,159
0,879,158
0,880,161
0,881,162
0,882,160
0,883,159
0,884,160
0,885,159
0,886,166
0,887,160
0,888,163
0,889,159
0,890,162
0,891,164
0,892,160
0,893,161
0,894,164
0,895,160
0,896,161
0,897,159
0,898,158
0,899,159
0,900,161
0,901,160
0,902,161
0,903,161
0,904,163
0,905,162
0,906,159
0,907,162
0,908,160
0,909,160
0,910,157
0,911,160
0,912,158
0,913,161
0,914,160
0,915,165
0,916,160
0,917,168
0,918,165
0,919,159
0,920,166
0,921,161
0,922,159
0,923,162
0,924,163
0,925,158
0,926,159
0,927,161
0,928,160
0,929,159
0,930,160
0,931,159
0,932,161
0,933,163
0,934,160
0,935,159
0,936,158
0,937,161
0,938,158
0,939,161
0,940,155
0,941,161
0,942,159
0,943,166
0,944,163
0,945,162
0,946,162
0,947,157
0,948,164
0,949,157
0,950,157
0,951,163
0,952,163
0,953,158
0,954,160
0,955,157
0,956,160
0,957,165
0,958,157
0,959,162
0,960,160
0,961,160
0,962,158
0,963,164
0,964,157
0,965,160
0,966,160
0,967,163
0,968,158
0,969,155
0,970,160
0,971,164
0,972,159
0,973,163
0,974,161
0,975,161
0,976,158
0,977,160
0,978,162
0,979,162
0,980,160
0,981,163
0,982,159
0,983,161
0,984,160
0,985,159
0,986,157
0,987,161
0,988,163
0,989,161
0,990,160
0,991,163
0,992,163
0,993,162
0,994,161
0,995,160
0,996,164
0,997,159
0,998,163
0,999,163
0,1000,161
0,1001,164
0,1002,163
0,1003,164
0,1004,163
0,1005,161
0,1006,158
0,1007,158
0,1008,159
0,1009,157
0,1010,161
0,1011,163
0,1012,158
0,1013,163
0,1014,160
0,1015,159
0,1016,164
0,1017,164
0,1018,160
0,1019,161
0,1020,164
0,1021,162
0,1022,163
0,1023,155
1,0,98
1,1,99
1,2,98
1,3,98
1,4,96
1,5,98
1,6,96
1,7,96
1,8,99
1,9,97
1,10,97
1,11,97
1,12,96
1,13,98
1,14,98
1,15,97
1,16,98
1,17,98
1,18,97
1,19,96
1,20,96
1,21,97
1,22,96
1,23,95
1,24,97
1,25,97
1,26,97
1,27,95
1,28,98
1,29,98
1,30,97
1,31,98
1,32,97
1,33,96
1,34,96
1,35,97
1,36,98
1,37,97
1,38,96
1,39,97
1,40,98
1,41,97
1,42,96
1,43,97
1,44,98
1,45,97
1,46,98
1,47,97
1,48,98
1,49,99
1,50,98
1,51,96
1,52,96
1,53,97
1,54,98
1,55,95
1,56,98
1,57,97
1,58,94
1,59,96
1,60,97
1,61,98
1,62,98
1,63,101
1,64,109
1,65,116
1,66,128
1,67,115
1,68,99
1,69,96
1,70,98
1,71,95
1,72,96
1,73,97
1,74,96
1,75,99
1,76,98
1,77,97
1,78,97
1,79,98
1,80,98
1,81,97
1,82,97
1,83,96
1,84,97
1,85,96
1,86,97
1,87,98
1,88,96
1,89,97
1,90,96
1,91,95
1,92,99
1,93,95
1,94,97
1,95,99
1,96,101
1,97,101
1,98,103
1,99,106
1,100,105
1,101,108
1,102,108
1,103,112
1,104,113
1,105,111
1,106,110
1,107,111
1,108,110
1,109,111
1,110,111
1,111,111
1,112,110
1,113,113
1,114,113
1,115,112
1,116,110
1,117,112
1,118,111
1,119,111
1,120,111
1,121,113
1,122,113
1,123,109
1,124,111
1,125,114
1,126,112
1,127,110
1,128,113
1,129,111
1,130,112
1,131,109
1,132,113
1,133,112
1,134,111
1,135,110
1,136,112
1,137,113
1,138,112
1,139,111
1,140,112
1,141,113
1,142,112
1,143,111
1,144,112
1,145,113
1,146,115
1,147,114
1,148,112
1,149,116
1,150,113
1,151,114
1,152,114
1,153,115
1,154,115
1,155,114
1,156,112
1,157,113
1,158,115
1,159,116
1,160,117
1,161,117
1,162,115
1,163,115
1,164,116
1,165,118
1,166,114
1,167,115
1,168,118
1,169,115
1,170,118
1,171,120
1,172,118
1,173,121
1,174,118
1,175,116
1,176,115
1,177,115
1,178,116
1,179,119
1,180,116
1,181,115
1,182,115
1,183,116
1,184,118
1,185,119
1,186,116
1,187,116
1,188,121
1,189,117
1,190,116
1,191,119
1,192,115
1,193,116
1,194,116
1,195,115
1,196,114
1,197,116
1,198,114
1,199,117
1,200,117
1,201,119
1,202,117
1,203,115
1,204,118
1,205,117
1,206,118
1,207,118
1,208,118
1,209,118
1,210,119
1,211,118
1,212,118
1,213,115
1,214,115
1,215,118
1,216,118
1,217,117
1,218,119
1,219,119
1,220,118
1,221,118
1,222,117
1,223,117
1,224,118
1,225,118
1,226,119
1,227,117
1,228,118
1,229,116
1,230,119
1,231,118
1,232,119
1,233,119
1,234,117
1,235,120
1,236,121
1,237,118
1,238,118
1,239,119
1,240,123
1,241,122
1,242,121
1,243,118
1,244,124
1,245,131
1,246,148
1,247,162
1,248,170
1,249,198
1,250,251
1,251,316
1,252,310
1,253,225
1,254,163
1,255,139
1,256,128
1,257,123
1,258,124
1,259,122
1,260,121
1,261,121
1,262,122
1,263,122
1,264,120
1,265,121
1,266,121
1,267,121
1,268,122
1,269,124
1,270,120
1,271,122
1,272,119
1,273,117
1,274,121
1,275,121
1,276,122
1,277,120
1,278,122
1,279,121
1,280,121
1,281,122
1,282,120
1,283,122
1,284,124
1,285,119
1,286,121
1,287,121
1,288,124
1,289,121
1,290,124
1,291,123
1,292,122
1,293,120
1,294,121
1,295,123
1,296,121
1,297,122
1,298,124
1,299,124
1,300,122
1,301,125
1,302,123
1,303,123
1,304,121
1,305,123
1,306,122
1,307,125
1,308,123
1,309,121
1,310,123
1,311,124
1,312,122
1,313,123
1,314,120
1,315,122
1,316,126
1,317,121
1,318,121
1,319,122
1,320,123
1,321,119
1,322,123
1,323,122
1,324,122
1,325,125
1,326,123
1,327,127
1,328,124
1,329,123
1,330,124
1,331,125
1,332,124
1,333,124
1,334,124
1,335,126
1,336,127
1,337,125
1,338,121
1,339,125
1,340,124
1,341,125
1,342,126
1,343,127
1,344,126
1,345,125
1,346,127
1,347,128
1,348,128
1,349,129
1,350,127
1,351,127
1,352,123
1,353,126
1,354,123
1,355,125
1,356,127
1,357,130
1,358,127
1,359,126
1,360,126
1,361,127
1,362,128
1,363,127
1,364,127
1,365,127
1,366,126
1,367,125
1,368,127
1,369,127
1,370,127
1,371,128
1,372,127
1,373,128
1,374,130
1,375,127
1,376,126
1,377,131
1,378,126
1,379,128
1,380,128
1,381,128
1,382,127
1,383,127
1,384,127
1,385,129
1,386,127
1,387,129
1,388,128
1,389,131
1,390,132
1,391,129
1,392,130
1,393,132
1,394,130
1,395,128
1,396,128
1,397,132
1,398,129
1,399,128
1,400,128
1,401,128
1,402,128
1,403,135
1,404,134
1,405,132
1,406,134
1,407,136
1,408,136
1,409,135
1,410,135
1,411,138
1,412,133
1,413,138
1,414,137
1,415,139
1,416,139
1,417,138
1,418,139
1,419,135
1,420,138
1,421,136
1,422,136
1,423,139
1,424,136
1,425,140
1,426,138
1,427,135
1,428,136
1,429,136
1,430,135
1,431,134
1,432,136
1,433,131
1,434,130
1,435,136
1,436,131
1,437,133
1,438,133
1,439,132
1,440,130
1,441,132
1,442,134
1,443,131
1,444,128
1,445,135
1,446,130
1,447,132
1,448,133
1,449,129
1,450,133
1,451,133
1,452,136
1,453,135
1,454,135
1,455,133
1,456,133
1,457,132
1,458,132
1,459,131
1,460,135
1,461,132
1,462,130
1,463,134
1,464,133
1,465,131
1,466,132
1,467,130
1,468,135
1,469,135
1,470,133
1,471,132
1,472,135
1,473,136
1,474,133
1,475,136
1,476,134
1,477,133
1,478,132
1,479,135
1,480,132
1,481,132
1,482,134
1,483,131
1,484,134
1,485,135
1,486,135
1,487,135
1,488,136
1,489,131
1,490,135
1,491,138
1,492,134
1,493,137
1,494,135
1,495,135
1,496,134
1,497,136
1,498,136
1,499,134
1,500,135
1,501,134
1,502,138
1,503,133
1,504,135
1,505,134
1,506,130
1,507,136
1,508,138
1,509,135
1,510,138
1,511,136
1,512,136
1,513,136
1,514,138
1,515,135
1,516,138
1,517,135
1,518,139
1,519,140
1,520,138
1,521,137
1,522,135
1,523,136
1,524,138
1,525,138
1,526,137
1,527,138
1,528,137
1,529,136
1,530,137
1,531,136
1,532,138
1,533,137
1,534,138
1,535,134
1,536,134
1,537,137
1,538,138
1,539,137
1,540,136
1,541,139
1,542,137
1,543,138
1,544,142
1,545,139
1,546,140
1,547,143
1,548,139
1,549,138
1,550,140
1,551,137
1,552,140
1,553,142
1,554,136
1,555,139
1,556,138
1,557,138
1,558,139
1,559,140
1,560,139
1,561,142
1,562,142
1,563,139
1,564,140
1,565,140
1,566,142
1,567,138
1,568,143
1,569,139
1,570,142
1,571,141
1,572,141
1,573,141
1,574,142
1,575,143
1,576,144
1,577,142
1,578,142
1,579,143
1,580,140
1,581,141
1,582,139
1,583,141
1,584,142
1,585,142
1,586,142
1,587,141
1,588,142
1,589,141
1,590,140
1,591,139
1,592,139
1,593,139
1,594,142
1,595,139
1,596,138
1,597,141
1,598,142
1,599,139
1,600,139
1,601,141
1,602,144
1,603,142
1,604,139
1,605,141
1,606,138
1,607,138
1,608,140
1,609,145
1,610,140
1,611,141
1,612,137
1,613,140
1,614,140
1,615,138
1,616,142
1,617,143
1,618,139
1,619,142
1,620,142
1,621,143
1,622,140
1,623,140
1,624,142
1,625,140
1,626,140
1,627,138
1,628,135
1,629,141
1,630,139
1,631,138
1,632,136
1,633,141
1,634,140
1,635,138
1,636,140
1,637,141
1,638,137
1,639,141
1,640,140
1,641,139
1,642,143
1,643,140
1,644,140
1,645,141
1,646,137
1,647,143
1,648,141
1,649,141
1,650,144
1,651,138
1,652,143
1,653,139
1,654,139
1,655,138
1,656,142
1,657,141
1,658,141
1,659,141
1,660,139
1,661,141
1,662,138
1,663,139
1,664,141
1,665,139
1,666,140
1,667,138
1,668,139
1,669,142
1,670,141
1,671,135
1,672,140
1,673,139
1,674,139
1,675,139
1,676,143
1,677,142
1,678,143
1,679,143
1,680,140
1,681,141
1,682,137
1,683,141
1,684,141
1,685,142
1,686,138
1,687,140
1,688,140
1,689,138
1,690,141
1,691,141
1,692,141
1,693,142
1,694,136
1,695,140
1,696,142
1,697,140
1,698,137
1,699,140
1,700,138
1,701,140
1,702,144
1,703,140
1,704,139
1,705,142
1,706,145
1,707,142
1,708,142
1,709,142
1,710,143
1,711,140
1,712,141
1,713,143
1,714,143
1,715,140
1,716,140
1,717,138
1,718,140
1,719,143
1,720,138
1,721,142
1,722,141
1,723,142
1,724,142
1,725,143
1,726,145
1,727,139
1,728,142
1,729,143
1,730,141
1,731,140
1,732,139
1,733,143
1,734,143
1,735,144
1,736,141
1,737,145
1,738,144
1,739,144
1,740,142
1,741,142
1,742,142
1,743,142
1,744,144
1,745,142
1,746,142
1,747,139
1,748,140
1,749,141
