# laser_power_pct,40
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,708
1,-224.019,525.7549,706
2,-220.946,525.8399,697
3,-217.874,525.9248,699
4,-214.803,526.0098,713
5,-211.734,526.0947,698
6,-208.666,526.1796,694
7,-205.598,526.2646,692
8,-202.533,526.3495,698
9,-199.468,526.4344,706
10,-196.405,526.5193,712
11,-193.342,526.6042,717
12,-190.281,526.6891,704
13,-187.222,526.7740,701
14,-184.163,526.8589,695
15,-181.106,526.9438,698
16,-178.050,527.0287,706
17,-174.995,527.1135,699
18,-171.941,527.1984,706
19,-168.888,527.2832,705
20,-165.837,527.3681,704
21,-162.787,527.4529,704
22,-159.738,527.5378,702
23,-156.690,527.6226,694
24,-153.644,527.7074,698
25,-150.599,527.7922,692
26,-147.555,527.8771,693
27,-144.512,527.9619,705
28,-141.470,528.0467,689
29,-138.430,528.1314,707
30,-135.390,528.2162,703
31,-132.352,528.3010,689
32,-129.315,528.3858,702
33,-126.280,528.4706,693
34,-123.245,528.5553,690
35,-120.212,528.6401,698
36,-117.180,528.7248,713
37,-114.149,528.8096,704
38,-111.119,528.8943,692
39,-108.091,528.9790,700
40,-105.063,529.0637,694
41,-102.037,529.1485,705
42,-99.012,529.2332,699
43,-95.989,529.3179,703
44,-92.966,529.4026,704
45,-89.945,529.4873,703
46,-86.925,529.5720,695
47,-83.906,529.6566,692
48,-80.888,529.7413,709
49,-77.871,529.8260,704
50,-74.856,529.9106,695
51,-71.842,529.9953,703
52,-68.829,530.0799,700
53,-65.817,530.1646,687
54,-62.806,530.2492,713
55,-59.797,530.3338,704
56,-56.789,530.4185,699
57,-53.782,530.5031,686
58,-50.776,530.5877,698
59,-47.771,530.6723,697
60,-44.768,530.7569,695
61,-41.765,530.8415,701
62,-38.764,530.9261,705
63,-35.764,531.0106,703
64,-32.765,531.0952,723
65,-29.768,531.1798,725
66,-26.771,531.2643,722
67,-23.776,531.3489,756
68,-20.782,531.4334,718
69,-17.789,531.5180,694
70,-14.797,531.6025,705
71,-11.807,531.6870,701
72,-8.817,531.7715,708
73,-5.829,531.8561,696
74,-2.842,531.9406,708
75,0.144,532.0251,706
76,3.128,532.1096,702
77,6.112,532.1941,710
78,9.094,532.2785,700
79,12.075,532.3630,706
80,15.055,532.4475,719
81,18.034,532.5319,712
82,21.012,532.6164,705
83,23.988,532.7008,721
84,26.964,532.7853,703
85,29.938,532.8697,714
86,32.911,532.9542,715
87,35.882,533.0386,713
88,38.853,533.1230,701
89,41.822,533.2074,722
90,44.791,533.2918,732
91,47.758,533.3762,748
92,50.724,533.4606,791
93,53.689,533.5450,894
94,56.652,533.6294,1027
95,59.615,533.7137,1238
96,62.576,533.7981,1649
97,65.536,533.8825,2213
98,68.495,533.9668,2898
99,71.453,534.0512,3868
100,74.410,534.1355,4806
101,77.365,534.2198,5731
102,80.319,534.3042,6459
103,83.273,534.3885,6917
104,86.225,534.4728,7122
105,89.176,534.5571,7294
106,92.125,534.6414,7376
107,95.074,534.7257,7424
108,98.021,534.8100,7446
109,100.967,534.8943,7520
110,103.912,534.9786,7403
111,106.856,535.0628,7560
112,109.799,535.1471,7632
113,112.741,535.2313,7594
114,115.681,535.3156,7533
115,118.621,535.3998,7563
116,121.559,535.4841,7525
117,124.496,535.5683,7666
118,127.432,535.6525,7532
119,130.366,535.7367,7663
120,133.300,535.8210,7663
121,136.232,535.9052,7478
122,139.164,535.9894,7700
123,142.094,536.0735,7604
124,145.023,536.1577,7647
125,147.950,536.2419,7673
126,150.877,536.3261,7676
127,153.803,536.4102,7660
128,156.727,536.4944,7693
129,159.650,536.5786,7566
130,162.572,536.6627,7603
131,165.493,536.7468,7635
132,168.413,536.8310,7737
133,171.332,536.9151,7713
134,174.249,536.9992,7781
135,177.166,537.0833,7751
136,180.081,537.1674,7885
137,182.995,537.2515,7822
138,185.908,537.3356,7896
139,188.820,537.4197,7818
140,191.731,537.5038,7908
141,194.640,537.5879,7842
142,197.549,537.6719,7919
143,200.456,537.7560,7857
144,203.362,537.8400,7983
145,206.267,537.9241,8025
146,209.171,538.0081,8002
147,212.074,538.0922,8043
148,214.975,538.1762,8038
149,217.876,538.2602,8113
150,220.775,538.3442,8049
151,223.673,538.4282,8092
152,226.570,538.5122,8053
153,229.466,538.5962,8103
154,232.361,538.6802,8094
155,235.255,538.7642,8123
156,238.147,538.8482,8217
157,241.039,538.9321,8012
158,243.929,539.0161,8258
159,246.818,539.1001,8198
160,249.706,539.1840,8226
161,252.593,539.2679,8292
162,255.479,539.3519,8218
163,258.363,539.4358,8388
164,261.247,539.5197,8308
165,264.129,539.6036,8278
166,267.011,539.6875,8231
167,269.891,539.7714,8304
168,272.770,539.8553,8244
169,275.648,539.9392,8284
170,278.524,540.0231,8361
171,281.400,540.1070,8362
172,284.275,540.1909,8354
173,287.148,540.2747,8366
174,290.020,540.3586,8388
175,292.892,540.4424,8403
176,295.762,540.5263,8365
177,298.631,540.6101,8382
178,301.498,540.6939,8387
179,304.365,540.7777,8282
180,307.231,540.8616,8338
181,310.095,540.9454,8345
182,312.959,541.0292,8370
183,315.821,541.1130,8431
184,318.682,541.1967,8399
185,321.542,541.2805,8487
186,324.401,541.3643,8552
187,327.259,541.4481,8475
188,330.115,541.5318,8470
189,332.971,541.6156,8653
190,335.825,541.6993,8583
191,338.679,541.7831,8557
192,341.531,541.8668,8624
193,344.382,541.9505,8595
194,347.232,542.0343,8658
195,350.081,542.1180,8611
196,352.929,542.2017,8648
197,355.775,542.2854,8569
198,358.621,542.3691,8577
199,361.465,542.4528,8614
200,364.309,542.5364,8725
201,367.151,542.6201,8666
202,369.992,542.7038,8663
203,372.832,542.7874,8624
204,375.671,542.8711,8780
205,378.509,542.9547,8744
206,381.346,543.0384,8785
207,384.181,543.1220,8705
208,387.016,543.2056,8770
209,389.849,543.2893,8752
210,392.682,543.3729,8820
211,395.513,543.4565,8876
212,398.343,543.5401,8986
213,401.172,543.6237,8922
214,404.000,543.7073,8894
215,406.827,543.7908,8997
216,409.653,543.8744,9016
217,412.477,543.9580,8985
218,415.301,544.0415,9038
219,418.123,544.1251,8912
220,420.945,544.2086,9179
221,423.765,544.2922,9088
222,426.584,544.3757,9118
223,429.402,544.4592,9120
224,432.219,544.5427,9199
225,435.035,544.6263,9146
226,437.850,544.7098,9138
227,440.664,544.7933,9168
228,443.476,544.8767,9349
229,446.288,544.9602,9157
230,449.098,545.0437,9200
231,451.907,545.1272,9299
232,454.716,545.2106,9307
233,457.523,545.2941,9306
234,460.329,545.3775,9351
235,463.134,545.4610,9217
236,465.938,545.5444,9258
237,468.741,545.6279,9269
238,471.542,545.7113,9278
239,474.343,545.7947,9325
240,477.142,545.8781,9347
241,479.941,545.9615,9354
242,482.738,546.0449,9334
243,485.535,546.1283,9273
244,488.330,546.2117,9282
