# laser_power_pct,60
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,648
1,-224.019,525.7549,643
2,-220.946,525.8399,644
3,-217.874,525.9248,653
4,-214.803,526.0098,652
5,-211.734,526.0947,646
6,-208.666,526.1796,646
7,-205.598,526.2646,652
8,-202.533,526.3495,647
9,-199.468,526.4344,646
10,-196.405,526.5193,653
11,-193.342,526.6042,653
12,-190.281,526.6891,650
13,-187.222,526.7740,650
14,-184.163,526.8589,648
15,-181.106,526.9438,649
16,-178.050,527.0287,647
17,-174.995,527.1135,642
18,-171.941,527.1984,649
19,-168.888,527.2832,643
20,-165.837,527.3681,647
21,-162.787,527.4529,647
22,-159.738,527.5378,642
23,-156.690,527.6226,648
24,-153.644,527.7074,649
25,-150.599,527.7922,647
26,-147.555,527.8771,644
27,-144.512,527.9619,652
28,-141.470,528.0467,648
29,-138.430,528.1314,652
30,-135.390,528.2162,648
31,-132.352,528.3010,652
32,-129.315,528.3858,644
33,-126.280,528.4706,643
34,-123.245,528.5553,643
35,-120.212,528.6401,646
36,-117.180,528.7248,646
37,-114.149,528.8096,646
38,-111.119,528.8943,646
39,-108.091,528.9790,648
40,-105.063,529.0637,646
41,-102.037,529.1485,651
42,-99.012,529.2332,652
43,-95.989,529.3179,645
44,-92.966,529.4026,644
45,-89.945,529.4873,646
46,-86.925,529.5720,662
47,-83.906,529.6566,652
48,-80.888,529.7413,650
49,-77.871,529.8260,643
50,-74.856,529.9106,647
51,-71.842,529.9953,645
52,-68.829,530.0799,645
53,-65.817,530.1646,650
54,-62.806,530.2492,653
55,-59.797,530.3338,644
56,-56.789,530.4185,649
57,-53.782,530.5031,643
58,-50.776,530.5877,643
59,-47.771,530.6723,645
60,-44.768,530.7569,643
61,-41.765,530.8415,651
62,-38.764,530.9261,649
63,-35.764,531.0106,650
64,-32.765,531.0952,658
65,-29.768,531.1798,653
66,-26.771,531.2643,656
67,-23.776,531.3489,658
68,-20.782,531.4334,652
69,-17.789,531.5180,653
70,-14.797,531.6025,648
71,-11.807,531.6870,646
72,-8.817,531.7715,653
73,-5.829,531.8561,652
74,-2.842,531.9406,651
75,0.144,532.0251,646
76,3.128,532.1096,643
77,6.112,532.1941,643
78,9.094,532.2785,658
79,12.075,532.3630,646
80,15.055,532.4475,672
81,18.034,532.5319,655
82,21.012,532.6164,652
83,23.988,532.7008,648
84,26.964,532.7853,643
85,29.938,532.8697,648
86,32.911,532.9542,654
87,35.882,533.0386,652
88,38.853,533.1230,645
89,41.822,533.2074,646
90,44.791,533.2918,652
91,47.758,533.3762,646
92,50.724,533.4606,653
93,53.689,533.5450,652
94,56.652,533.6294,641
95,59.615,533.7137,660
96,62.576,533.7981,671
97,65.536,533.8825,685
98,68.495,533.9668,697
99,71.453,534.0512,748
100,74.410,534.1355,774
101,77.365,534.2198,789
102,80.319,534.3042,823
103,83.273,534.3885,849
104,86.225,534.4728,880
105,89.176,534.5571,844
106,92.125,534.6414,848
107,95.074,534.7257,855
108,98.021,534.8100,851
109,100.967,534.8943,860
110,103.912,534.9786,866
111,106.856,535.0628,840
112,109.799,535.1471,854
113,112.741,535.2313,845
114,115.681,535.3156,883
115,118.621,535.3998,870
116,121.559,535.4841,854
117,124.496,535.5683,889
118,127.432,535.6525,875
119,130.366,535.7367,870
120,133.300,535.8210,874
121,136.232,535.9052,884
122,139.164,535.9894,874
123,142.094,536.0735,891
124,145.023,536.1577,873
125,147.950,536.2419,879
126,150.877,536.3261,883
127,153.803,536.4102,878
128,156.727,536.4944,871
129,159.650,536.5786,880
130,162.572,536.6627,884
131,165.493,536.7468,893
132,168.413,536.8310,894
133,171.332,536.9151,877
134,174.249,536.9992,893
135,177.166,537.0833,871
136,180.081,537.1674,895
137,182.995,537.2515,889
138,185.908,537.3356,910
139,188.820,537.4197,893
140,191.731,537.5038,894
141,194.640,537.5879,898
142,197.549,537.6719,902
143,200.456,537.7560,875
144,203.362,537.8400,899
145,206.267,537.9241,874
146,209.171,538.0081,887
147,212.074,538.0922,923
148,214.975,538.1762,886
149,217.876,538.2602,908
150,220.775,538.3442,900
151,223.673,538.4282,909
152,226.570,538.5122,905
153,229.466,538.5962,916
154,232.361,538.6802,920
155,235.255,538.7642,908
156,238.147,538.8482,902
