# laser_power_pct,40
# exposure_time,0.2
# laser_nm,532.021
# mode,single
pixel,raman_shift_cm-1,wavelength_nm,intensity
0,-227.093,525.6699,688
1,-224.019,525.7549,680
2,-220.946,525.8399,681
3,-217.874,525.9248,679
4,-214.803,526.0098,683
5,-211.734,526.0947,680
6,-208.666,526.1796,675
7,-205.598,526.2646,677
8,-202.533,526.3495,671
9,-199.468,526.4344,686
10,-196.405,526.5193,695
11,-193.342,526.6042,685
12,-190.281,526.6891,677
13,-187.222,526.7740,689
14,-184.163,526.8589,675
15,-181.106,526.9438,679
16,-178.050,527.0287,688
17,-174.995,527.1135,677
18,-171.941,527.1984,680
19,-168.888,527.2832,682
20,-165.837,527.3681,680
21,-162.787,527.4529,677
22,-159.738,527.5378,683
23,-156.690,527.6226,683
24,-153.644,527.7074,684
25,-150.599,527.7922,668
26,-147.555,527.8771,679
27,-144.512,527.9619,677
28,-141.470,528.0467,672
29,-138.430,528.1314,683
30,-135.390,528.2162,675
31,-132.352,528.3010,683
32,-129.315,528.3858,678
33,-126.280,528.4706,676
34,-123.245,528.5553,677
35,-120.212,528.6401,676
36,-117.180,528.7248,682
37,-114.149,528.8096,691
38,-111.119,528.8943,683
39,-108.091,528.9790,679
40,-105.063,529.0637,690
41,-102.037,529.1485,685
42,-99.012,529.2332,678
43,-95.989,529.3179,683
44,-92.966,529.4026,679
45,-89.945,529.4873,681
46,-86.925,529.5720,691
47,-83.906,529.6566,683
48,-80.888,529.7413,679
49,-77.871,529.8260,677
50,-74.856,529.9106,686
51,-71.842,529.9953,687
52,-68.829,530.0799,687
53,-65.817,530.1646,679
54,-62.806,530.2492,689
55,-59.797,530.3338,676
56,-56.789,530.4185,676
57,-53.782,530.5031,677
58,-50.776,530.5877,682
59,-47.771,530.6723,684
60,-44.768,530.7569,687
61,-41.765,530.8415,684
62,-38.764,530.9261,681
63,-35.764,531.0106,691
64,-32.765,531.0952,710
65,-29.768,531.1798,694
66,-26.771,531.2643,713
67,-23.776,531.3489,715
68,-20.782,531.4334,683
69,-17.789,531.5180,684
70,-14.797,531.6025,683
71,-11.807,531.6870,688
72,-8.817,531.7715,690
73,-5.829,531.8561,682
74,-2.842,531.9406,679
75,0.144,532.0251,681
76,3.128,532.1096,685
77,6.112,532.1941,687
78,9.094,532.2785,690
79,12.075,532.3630,683
80,15.055,532.4475,697
81,18.034,532.5319,695
82,21.012,532.6164,688
83,23.988,532.7008,692
84,26.964,532.7853,678
85,29.938,532.8697,677
86,32.911,532.9542,684
87,35.882,533.0386,680
88,38.853,533.1230,682
89,41.822,533.2074,688
90,44.791,533.2918,696
91,47.758,533.3762,702
92,50.724,533.4606,729
93,53.689,533.5450,761
94,56.652,533.6294,816
95,59.615,533.7137,957
96,62.576,533.7981,1120
97,65.536,533.8825,1421
98,68.495,533.9668,1856
99,71.453,534.0512,2373
100,74.410,534.1355,2886
101,77.365,534.2198,3471
102,80.319,534.3042,3827
103,83.273,534.3885,4068
104,86.225,534.4728,4252
105,89.176,534.5571,4286
106,92.125,534.6414,4371
107,95.074,534.7257,4347
108,98.021,534.8100,4341
109,100.967,534.8943,4327
110,103.912,534.9786,4322
111,106.856,535.0628,4362
112,109.799,535.1471,4406
113,112.741,535.2313,4360
114,115.681,535.3156,4399
115,118.621,535.3998,4424
116,121.559,535.4841,4391
117,124.496,535.5683,4525
118,127.432,535.6525,4412
119,130.366,535.7367,4528
120,133.300,535.8210,4494
121,136.232,535.9052,4423
122,139.164,535.9894,4489
123,142.094,536.0735,4480
124,145.023,536.1577,4483
125,147.950,536.2419,4466
126,150.877,536.3261,4434
127,153.803,536.4102,4476
128,156.727,536.4944,4492
129,159.650,536.5786,4383
130,162.572,536.6627,4504
131,165.493,536.7468,4536
132,168.413,536.8310,4446
133,171.332,536.9151,4503
134,174.249,536.9992,4537
135,177.166,537.0833,4462
136,180.081,537.1674,4510
137,182.995,537.2515,4539
138,185.908,537.3356,4543
139,188.820,537.4197,4523
140,191.731,537.5038,4518
141,194.640,537.5879,4577
142,197.549,537.6719,4617
143,200.456,537.7560,4614
144,203.362,537.8400,4568
145,206.267,537.9241,4650
146,209.171,538.0081,4612
147,212.074,538.0922,4710
148,214.975,538.1762,4672
149,217.876,538.2602,4659
150,220.775,538.3442,4775
151,223.673,538.4282,4680
152,226.570,538.5122,4770
153,229.466,538.5962,4645
154,232.361,538.6802,4725
155,235.255,538.7642,4770
156,238.147,538.8482,4681
157,241.039,538.9321,4777
158,243.929,539.0161,4853
159,246.818,539.1001,4833
160,249.706,539.1840,4807
161,252.593,539.2679,4775
162,255.479,539.3519,4892
163,258.363,539.4358,4808
164,261.247,539.5197,4826
165,264.129,539.6036,4767
166,267.011,539.6875,4824
167,269.891,539.7714,4816
168,272.770,539.8553,4847
169,275.648,539.9392,4867
170,278.524,540.0231,4807
171,281.400,540.1070,4785
172,284.275,540.1909,4824
173,287.148,540.2747,4897
174,290.020,540.3586,4867
175,292.892,540.4424,4874
176,295.762,540.5263,4825
177,298.631,540.6101,4851
178,301.498,540.6939,4858
179,304.365,540.7777,4973
180,307.231,540.8616,4863
181,310.095,540.9454,4925
182,312.959,541.0292,4968
183,315.821,541.1130,4914
184,318.682,541.1967,5020
185,321.542,541.2805,4941
186,324.401,541.3643,4912
187,327.259,541.4481,5000
188,330.115,541.5318,4879
189,332.971,541.6156,5045
