pixel_index,raman_shift_cm-1,intensity
0,-226.387,113.2
1,-223.315,113.4
2,-220.244,114.0
3,-217.175,114.2
4,-214.107,113.8
5,-211.040,113.8
6,-207.974,113.0
7,-204.909,114.0
8,-201.846,112.8
9,-198.784,110.8
10,-195.723,112.8
11,-192.663,112.2
12,-189.605,113.8
13,-186.547,120.6
14,-183.491,147.6
15,-180.436,112.6
16,-177.382,114.2
17,-174.330,112.8
18,-171.279,112.6
19,-168.229,113.8
20,-165.180,112.2
21,-162.132,113.4
22,-159.085,112.8
23,-156.040,112.4
24,-152.996,113.6
25,-149.953,112.8
26,-146.911,113.6
27,-143.871,113.4
28,-140.832,113.8
29,-137.793,115.8
30,-134.757,114.0
31,-131.721,115.2
32,-128.686,112.2
33,-125.653,112.8
34,-122.621,112.6
35,-119.590,113.0
36,-116.560,113.0
37,-113.532,112.8
38,-110.504,113.4
39,-107.478,113.2
40,-104.453,113.0
41,-101.429,113.8
42,-98.407,113.8
43,-95.385,112.0
44,-92.365,113.6
45,-89.346,113.6
46,-86.328,113.8
47,-83.311,115.0
48,-80.296,113.0
49,-77.282,112.4
50,-74.268,112.4
51,-71.256,113.4
52,-68.246,113.4
53,-65.236,111.8
54,-62.228,113.8
55,-59.221,112.6
56,-56.214,112.2
57,-53.210,112.8
58,-50.206,113.2
59,-47.203,113.8
60,-44.202,114.6
61,-41.202,119.6
62,-38.203,156.8
63,-35.205,157.4
64,-32.209,215.4
65,-29.213,472.6
66,-26.219,641.4
67,-23.226,216.0
68,-20.234,138.8
69,-17.243,118.6
70,-14.254,115.0
71,-11.265,111.8
72,-8.278,112.4
73,-5.292,113.2
74,-2.307,113.6
75,0.677,114.6
76,3.659,112.6
77,6.640,112.6
78,9.621,112.4
79,12.600,113.6
80,15.578,113.2
81,18.554,113.4
82,21.530,113.8
83,24.504,112.0
84,27.477,113.2
85,30.449,112.6
86,33.420,113.4
87,36.390,112.8
88,39.359,112.0
89,42.326,113.0
90,45.292,111.8
91,48.257,112.8
92,51.221,113.0
93,54.184,114.2
94,57.145,113.4
95,60.106,117.2
96,63.065,118.8
97,66.023,123.8
98,68.980,126.0
99,71.936,132.0
100,74.891,133.8
101,77.844,137.0
102,80.796,141.0
103,83.748,143.8
104,86.698,143.8
105,89.647,140.0
106,92.594,141.6
107,95.541,143.0
108,98.486,141.4
109,101.430,143.2
110,104.374,141.6
111,107.316,142.2
112,110.256,141.8
113,113.196,140.2
114,116.135,140.2
115,119.072,142.0
116,122.008,140.4
117,124.943,141.6
118,127.877,139.4
119,130.810,142.8
120,133.742,140.8
121,136.672,141.6
122,139.601,145.0
123,142.530,141.8
124,145.457,139.4
125,148.383,140.4
126,151.307,140.4
127,154.231,138.2
128,157.154,142.0
129,160.075,141.6
130,162.995,142.4
131,165.914,139.2
132,168.832,143.0
133,171.749,142.4
134,174.665,142.0
135,177.579,141.4
136,180.493,142.6
137,183.405,141.6
138,186.316,143.6
139,189.226,143.0
140,192.135,143.0
141,195.042,147.2
142,197.949,146.0
143,200.855,149.8
144,203.759,150.0
145,206.662,153.0
146,209.564,155.2
147,212.465,157.4
148,215.365,155.6
149,218.264,154.4
150,221.161,155.8
151,224.057,157.6
152,226.953,159.0
153,229.847,160.2
154,232.740,158.2
155,235.632,161.2
156,238.523,157.8
157,241.412,162.0
158,244.301,161.0
159,247.188,163.0
160,250.075,163.6
161,252.960,164.6
162,255.844,165.8
163,258.727,166.6
164,261.608,168.0
165,264.489,167.0
166,267.369,170.6
167,270.247,175.6
168,273.125,175.8
169,276.001,176.4
